DateTime,AddedIPs,RemovedIPs
1543902933,1,0
1543903241,1,0
1543903834,2,0
1543904431,5,0
1543905339,1,0
1543906240,2,0
1543906836,1,0
1543907131,1,0
1543907730,2,0
1543908033,1,0
1543908333,3,0
1543908634,2,0
1543909536,1,0
1543910138,3,0
1543910434,1,0
1543911039,15,0
1543911339,1,0
1543911938,1,0
1543912242,2,0
1543912539,1,0
1543914036,3,0
1543914337,1,0
1543914937,4,0
1543915839,2,0
1543916136,2,0
1543916734,2,0
1543917339,3,0
1543917935,2,0
1543918238,1,0
1543918838,2,0
1543919439,2,0
1543920039,2,0
1543920337,1,0
1543920935,4,0
1543921838,4,0
1543922141,3,0
1543922436,1,0
1543923032,3,0
1543923334,1,0
1543923936,3,0
1543925134,3,0
1543925437,2,0
1543926038,1,0
1543926638,2,0
1543926940,1,0
1543927237,3,0
1543928133,1,0
1543928442,1,0
1543929040,2,0
1543929339,2,0
1543929639,1,0
1543930241,1,0
1543930835,2,0
1543931135,1,0
1543931431,1,0
1543932039,3,0
1543932337,2,0
1543932938,6,0
1543933239,2,0
1543933840,3,0
1543934136,2,0
1543934440,1,0
1543935338,1,0
1543936239,3,0
1543937439,3,0
1543938042,3,0
1543938339,2,0
1543938938,3,0
1543939239,4,0
1543939842,17,0
1543940439,1,0
1543941040,1,0
1543941339,1,0
1543941638,1,0
1543942239,2,0
1543942839,3,0
1543943738,5,0
1543944038,1,0
1543944640,4,0
1543944938,1,0
1543945237,2,0
1543945836,1,0
1543946133,2,0
1543946441,2,0
1543947035,5,0
1543947638,5,0
1543947939,1,0
1543948538,3,0
1543948838,1,0
1543949440,1,0
1543949738,2,0
1543950039,2,0
1543950341,1,0
1543950937,3,0
1543951535,3,0
1543952136,2,0
1543952734,1,0
1543953038,3,0
1543953636,7,0
1543954533,3,0
1543954841,1,0
1543955438,3,0
1543956038,4,0
1543956336,1,0
1543956636,1,0
1543957237,1,0
1543957834,3,0
1543958435,1,0
1543958735,1,0
1543959334,2,0
1543960235,4,0
1543961140,2,0
1543961732,4,0
1543962040,1,0
1543963239,3,0
1543963537,1,0
1543964137,2,0
1543964733,1,0
1543965328,5,0
1543966238,3,0
1543966834,2,0
1543967730,3,0
1543968331,3,0
1543968934,24,0
1543969235,2,0
1543969829,2,0
1543970132,1,0
1543970437,3,0
1543970731,1,0
1543971041,1,0
1543971332,1,0
1543971636,1,0
1543972237,2,0
1543972834,3,0
1543973135,1,0
1543973732,5,0
1543974633,3,0
1543975532,2,0
1543976129,2,0
1543976433,1,0
1543977034,1,0
1543977338,2,0
1543977635,1,0
1543977937,1,0
1543978533,1,0
1543978832,2,0
1543979430,1,0
1543980034,1,0
1543980332,2,0
1543980934,6,0
1543981536,1,0
1543982133,3,0
1543982439,2,0
1543983632,3,0
1543983930,2,0
1543984530,3,0
1543984829,1,0
1543985431,4,0
1543986032,3,0
1543986329,3,0
1543986933,4,0
1543987531,1,0
1543987837,1,0
1543988430,3,0
1543988731,2,0
1543989334,3,0
1543989932,5,0
1543990536,1,0
1543990831,1,0
1543991736,1,0
1543992043,2,0
1543992636,1,0
1543993238,3,0
1543993533,2,0
1543994132,3,0
1543994436,2,0
1543995033,1,0
1543995631,2,0
1543996529,5,0
1543996833,2,0
1543997432,10,0
1543997733,1,0
1543998030,2,0
1543998636,2,0
1543999238,3,0
1544000136,2,0
1544000730,2,0
1544001329,3,0
1544001635,2,0
1544002233,3,0
1544002839,1,0
1544003137,2,0
1544003737,2,0
1544004043,2,0
1544004638,1,0
1544004941,1,0
1544005532,4,0
1544006136,2,0
1544006441,1,0
1544007039,1,0
1544007641,1,0
1544007937,1,0
1544008536,6,0
1544008837,2,0
1544009439,3,0
1544010036,1,0
1544010640,1,0
1544011240,5,0
1544011539,1,0
1544012138,5,0
1544012446,4,0
1544013039,1,0
1544013339,4,0
1544013639,3,0
1544014240,4,0
1544014843,1,0
1544015136,1,0
1544015731,0,1
1544016038,1,0
1544016639,4,0
1544016932,1,0
1544017536,2,0
1544018135,4,0
1544018441,1,0
1544019028,3,0
1544019639,7,0
1544020536,3,0
1544020837,1,0
1544021439,3,0
1544021734,2,0
1544022939,2,0
1544023540,3,0
1544023838,2,0
1544024440,3,0
1544024735,3,0
1544025332,5,0
1544025636,2,0
1544026533,22,0
1544026831,2,0
1544027440,6,0
1544028339,6,0
1544028938,2,0
1544029534,3,0
1544030130,1,0
1544030437,1,0
1544031034,1,0
1544031630,2,0
1544031929,2,0
1544032538,3,0
1544032839,2,0
1544034039,1,0
1544034335,2,0
1544034632,2,0
1544035234,1,0
1544035830,3,0
1544036436,2,0
1544037035,1,0
1544037636,2,0
1544038233,4,0
1544038834,1,0
1544039734,7,0
1544040035,4,0
1544040929,7,0
1544041237,1,0
