DateTime,Entries,UniqueIPs
1536094842,28,8192
1536095703,27,7936
1536098467,25,7424
1536102050,24,7168
1536105583,23,6912
1536106504,22,6656
1536155137,20,5888
1536164153,20,5632
1536166870,21,5888
1536170430,24,6656
1536172237,25,6656
1536247824,28,7424
1536251423,27,7168
1536256813,25,6656
1536259611,26,6912
1536265827,25,6912
1536267609,26,7168
1536333792,30,7936
1536344333,29,7680
1536345905,28,7424
1536351304,28,7168
1536359138,27,6912
1536366634,27,6912
1536419703,23,5888
1536420345,25,6400
1536431006,24,6400
1536507005,21,5632
1536509709,21,5888
1536510625,22,6144
1536512423,23,6400
1536535434,22,6144
1536538999,23,6400
1536593405,26,7424
1536594303,25,7168
1536603303,24,6912
1536607384,25,7168
1536610967,26,7424
1536625803,27,7680
1536679803,24,6912
1536693302,23,6656
1536704708,22,6400
1536712815,22,6144
1536719247,23,6400
1536761704,22,5888
1536762395,24,6400
1536769809,25,6656
1536789637,25,6912
1536793244,26,7168
1536798733,27,7424
1536849004,25,6656
1536852474,25,6912
1536856228,24,6656
1536863403,23,6400
1536875104,22,6144
1536878706,22,5888
1536885229,23,6144
1536931809,24,6400
1536938867,23,6144
1536964319,23,6400
1536970507,22,6144
1536971762,23,6400
1537018237,22,6144
1537025418,21,5888
1537050639,20,5632
1537057833,20,5376
1537074040,19,5120
1537111803,23,6144
1537114888,24,6400
1537194607,27,7168
1537197968,25,6656
1537223436,26,6656
1537230734,25,6400
1537273829,26,6656
1537281004,23,5888
1537288203,24,6144
1537302162,23,5888
1537308905,22,5632
1537360237,21,5376
1537376133,22,5632
1537396383,23,5888
1537401659,22,5632
1537403444,23,5888
1537410172,24,6144
1537453803,26,7168
1537461903,25,6912
1537467304,26,7168
1537475402,27,7424
1537490053,26,7168
1537497007,26,6912
1537539305,24,6400
1537543802,26,6912
1537547404,25,6656
1537552837,25,6656
1537556447,26,6912
1537560903,26,6656
1537565032,27,6912
1537566304,26,6656
1537568531,27,6912
1537630204,24,6144
1537633931,26,6656
1537647749,27,6912
