DateTime,Entries,UniqueIPs
1540461600,878,878
1540468800,884,884
1540476000,876,876
1540483200,877,877
1540490400,881,881
1540497600,871,871
1540504800,868,868
1540512000,865,865
1540519200,871,871
1540526400,887,887
1540533600,887,887
1540540800,866,866
1540548000,869,869
1540555200,864,864
1540562400,864,864
1540569600,863,863
1540576800,859,859
1540584000,857,857
1540591200,856,856
1540598400,880,880
1540605600,861,861
1540612800,896,896
1540620000,904,904
1540627200,876,876
1540634400,887,887
1540641600,879,879
1540648800,876,876
1540656000,879,879
1540663200,888,888
1540670400,885,885
1540677600,879,879
1540684800,882,882
1540692000,839,839
1540699200,892,892
1540706400,887,887
1540713600,879,879
1540720800,877,877
1540728000,871,871
1540735200,864,864
1540742400,866,866
1540749600,868,868
1540756800,869,869
1540764000,867,867
1540771200,869,869
1540778400,835,835
1540785600,889,889
1540792800,880,880
1540800000,859,859
1540807200,869,869
1540814400,876,876
1540821600,881,881
1540828800,877,877
1540836000,875,875
1540843200,865,865
1540850400,872,872
1540857600,24,24
1540864800,874,874
1540872000,882,882
1540879200,886,886
1540886400,874,874
1540893600,870,870
1540900800,873,873
1540908000,876,876
1540915800,869,869
1540923000,858,858
1540930200,858,858
1540937400,864,864
1540944600,29,29
1540951800,858,858
1540959000,898,898
1540966200,893,893
1540973400,869,869
1540980600,864,864
1540987800,867,867
1540995000,869,869
1541002200,863,863
1541009400,868,868
1541016600,868,868
1541024400,872,872
1541031600,255,255
1541038800,863,863
1541046000,885,885
1541053200,890,890
1541060400,861,861
1541067600,865,865
1541074800,866,866
1541082000,869,869
1541089200,868,868
1541096400,865,865
1541103600,872,872
1541111400,874,874
1541118600,859,859
1541125800,813,813
1541133000,882,882
1541140200,873,873
1541147400,860,860
1541152800,846,846
1541160000,858,858
1541167200,857,857
1541174400,857,857
1541181600,865,865
1541188800,859,859
1541196000,859,859
1541203200,866,866
1541210400,854,854
1541217600,903,903
1541224800,883,883
1541232000,874,874
1541239200,882,882
1541246400,877,877
1541253600,884,884
1541260800,869,869
1541268000,872,872
1541275200,861,861
1541282400,871,871
1541289600,878,878
1541296800,823,823
1541304000,884,884
1541311200,873,873
1541318400,863,863
1541325600,882,882
1541332800,873,873
1541340000,872,872
1541347200,866,866
1541354400,874,874
1541361600,865,865
1541368800,859,859
1541376000,840,840
1541383200,903,903
1541390400,873,873
1541397600,882,882
1541404800,870,870
1541412000,864,864
1541419200,878,878
1541426400,895,895
1541433600,888,888
1541440800,882,882
1541448000,899,899
1541455200,899,899
1541462400,882,882
1541469600,878,878
1541476800,870,870
1541484000,866,866
1541491200,852,852
1541498400,843,843
1541505600,844,844
1541512800,847,847
1541520000,852,852
1541527200,854,854
1541534400,879,879
1541541600,871,871
1541548800,861,861
1541556000,890,890
1541563200,889,889
1541570400,885,885
1541577600,865,865
1541584800,865,865
1541592000,859,859
1541599200,871,871
1541606400,874,874
1541613600,880,880
1541620800,873,873
1541628000,875,875
1541635200,868,868
1541642400,857,857
1541649600,896,896
1541656800,868,868
1541664000,864,864
1541671200,878,878
1541678400,879,879
1541685600,889,889
1541692800,882,882
1541700000,881,881
1541707200,883,883
1541714400,875,875
1541721600,873,873
1541728800,842,842
1541736000,903,903
1541743200,895,895
1541750400,862,862
1541757600,868,868
1541764800,863,863
1541772000,874,874
1541779200,873,873
1541786400,874,874
1541794200,879,879
1541801400,873,873
1541808600,877,877
