DateTime,AddedIPs,RemovedIPs
1543690098,37,25
1543691061,67,23
1543692024,46,19
1543692974,46,22
1543693957,39,25
1543694894,46,21
1543695855,31,21
1543696815,34,19
1543697779,48,21
1543698701,36,30
1543699696,40,0
1543700659,53,28
1543701639,36,22
1543702573,36,28
1543703564,32,29
1543704500,44,34
1543705468,44,33
1543706423,46,22
1543707383,31,41
1543708354,56,23
1543709326,69,29
1543710255,64,35
1543711218,55,25
1543712185,69,41
1543713146,40,33
1543714111,69,20
1543715060,45,28
1543716040,38,38
1543716983,64,27
1543717940,52,47
1543718921,49,24
1543719869,47,23
1543720820,44,31
1543721779,51,27
1543722750,53,30
1543723712,45,23
1543724662,65,40
1543725613,58,29
1543726575,45,22
1543727554,45,30
1543728503,40,20
1543729461,55,21
1543730445,45,29
1543731390,42,24
1543732344,40,38
1543733296,47,37
1543734265,56,29
1543735224,55,30
1543736185,53,41
1543737133,53,36
1543738100,48,33
1543739077,61,28
1543740017,47,37
1543740972,55,29
1543741947,53,29
1543742894,43,38
1543743869,46,37
1543744820,50,37
1543745786,39,29
1543746746,55,49
1543747700,54,21
1543748665,49,0
1543749635,48,34
1543750588,48,34
1543751538,41,16
1543752795,866,1647
1543753956,49,23
1543754895,41,28
1543755861,36,32
1543756810,47,17
1543757792,48,55
1543758731,46,28
1543759714,33,21
1543760673,50,26
1543761633,52,24
1543762571,39,28
1543763549,52,26
1543764492,47,34
1543765477,40,48
1543766418,52,19
1543767389,41,0
1543768341,37,24
1543769292,37,26
1543770264,35,25
1543771217,46,22
1543772182,51,24
1543773150,50,65
1543774097,47,0
1543775053,39,10
1543776013,53,10
1543776990,44,40
1543777959,41,0
1543779144,55,18
1543780352,42,24
1543781323,42,19
1543782510,43,16
1543783479,49,23
1543784425,34,19
1543785383,47,21
1543786338,44,26
1543787291,25,19
1543788268,40,23
1543789213,30,20
1543790175,38,27
1543791135,37,12
1543792096,41,13
1543793075,53,47
1543794011,42,27
1543795224,42,20
1543796181,36,37
1543797143,39,89
1543798094,30,28
1543799076,37,17
1543800009,36,41
1543800976,38,46
1543801933,43,32
1543802917,27,22
1543803853,36,38
1543804917,39,27
1543806284,39,49
1543807459,29,51
1543808412,43,22
1543809387,42,24
1543810361,73,20
1543811296,41,34
1543812262,53,0
1543813244,27,60
1543814195,46,21
1543815385,43,25
1543816336,40,34
1543817316,42,27
1543818254,36,22
1543819218,46,30
1543820180,37,28
1543821164,76,30
1543822096,43,28
1543823062,52,16
1543824029,47,27
1543824981,47,22
1543825941,45,22
1543826895,51,21
1543827863,49,16
1543828811,55,25
1543829785,132,55
1543830977,49,33
1543831961,130,23
1543832409,13,15
1543832894,112,30
1543833864,116,11
1543834832,45,23
1543835789,40,34
1543836760,39,24
1543837941,44,38
1543839144,1064,2078
1543840090,95,19
1543841057,39,63
1543842022,45,16
1543842981,41,0
1543843948,40,54
1543844895,98,0
1543845868,74,29
1543847074,45,72
1543848011,34,27
1543848970,36,17
1543849962,123,19
1543850897,74,23
1543851867,38,19
1543852824,70,23
1543853786,38,23
1543854738,33,0
1543855704,32,20
1543856664,38,41
1543857621,43,17
1543858584,37,0
1543859542,35,32
1543860519,40,0
1543861476,28,41
1543862662,39,21
1543863625,65,27
1543864599,54,13
1543866053,35,585
1543867228,38,35
1543868679,50,13
1543869876,43,19
1543871081,61,30
1543872009,39,0
1543872991,49,17
1543873956,30,35
1543874899,32,18
1543875863,40,0
1543876812,31,56
1543877795,39,0
1543878984,46,51
1543880183,47,54
1543881377,48,32
1543882342,38,21
1543882813,10,50
1543883294,36,51
1543884258,38,28
1543885222,38,22
1543886184,34,21
1543886649,14,12
1543887135,39,37
1543888118,74,43
1543889083,53,29
1543890011,54,34
1543891251,54,35
1543892277,43,24
1543893381,47,25
1543894348,47,40
1543895296,42,35
1543896267,39,35
1543897221,54,29
1543898182,38,23
1543899152,40,28
1543900106,37,29
1543901055,36,20
1543902018,30,25
1543902973,39,18
1543903939,35,19
1543904892,46,22
1543905860,32,23
1543906825,50,22
1543907801,55,27
1543908736,48,21
1543909719,38,22
1543910682,39,22
1543911614,45,27
1543912572,52,33
1543913531,49,23
1543914504,41,29
1543915471,38,21
1543916416,51,20
1543917370,55,23
1543917858,7,12
1543918361,27,32
1543919544,49,32
1543920491,33,18
1543921467,46,30
1543922416,50,23
1543923387,44,15
1543924333,49,15
1543925568,1231,2501
1543926756,158,16
1543927694,91,22
1543928667,38,28
1543929610,52,13
1543930590,38,27
1543931536,47,15
1543932524,29,21
1543933473,153,23
1543934415,49,17
1543935372,34,25
1543936362,43,27
1543937542,48,25
1543938497,36,22
1543939466,39,20
1543940418,34,19
1543941372,45,16
1543942369,28,15
1543943297,43,15
1543944256,36,17
1543945212,50,16
1543946191,30,11
1543947160,49,18
1543948093,32,26
1543949056,50,25
1543950020,38,25
1543950986,38,821
1543952181,40,19
1543953136,41,19
1543954124,32,21
1543955061,46,30
1543956036,40,18
1543956974,35,21
1543957940,41,19
1543958897,23,36
1543959853,33,21
1543960986,42,24
1543962255,49,10
1543963217,38,26
1543964218,25,38
1543965138,30,18
1543966364,37,55
1543967321,39,29
1543968283,43,23
1543968976,13,21
1543969471,54,33
1543970412,48,33
1543971370,45,26
1543972339,40,21
1543972813,12,19
1543973310,45,37
1543974258,37,0
1543975251,36,22
1543976203,54,24
1543977166,40,28
1543978095,34,23
1543979057,32,14
1543980014,42,25
1543981002,38,32
1543982172,56,23
1543983145,60,41
1543984113,45,11
1543985054,43,29
1543986077,33,28
1543986998,36,24
1543987936,39,22
1543988910,34,29
1543989883,47,36
1543991075,39,37
1543992280,60,26
1543993240,37,33
1543994181,40,21
1543995158,53,26
1543996119,45,27
1543997060,38,24
1543998010,47,24
1543999237,49,61
1544000198,57,20
1544001376,31,27
1544002340,29,0
1544003292,31,58
1544004269,44,49
1544005214,49,25
1544006181,28,26
1544007138,35,0
1544008119,42,38
1544009072,28,28
1544010256,38,25
1544011267,40,23
1544012200,1126,1747
1544013154,24,32
1544014334,40,22
1544015294,36,21
1544016259,33,23
1544017215,34,24
1544018173,33,20
1544019161,37,31
1544020096,23,25
1544021055,25,17
1544022014,23,28
