DateTime,AddedIPs,RemovedIPs
1543838583,1,1
1543839123,1,0
1543840323,78,0
1543840923,4,0
1543842185,5,1
1543842723,3,0
1543843322,2,0
1543843924,0,55
1543844523,3,0
1543845123,5,0
1543845784,85,0
1543846323,4,0
1543846923,1,0
1543847469,62,22
1543848122,6,0
1543849385,1,1
1543849922,0,114
1543850523,2,0
1543851123,91,0
1543851724,11,0
1543852324,1,0
1543853291,8,2
1543853523,3,0
1543854123,5,0
1543854666,86,15
1543855323,1,0
1543855683,0,132
1543855923,5,0
1543857723,4,0
1543858323,94,0
1543859523,1,0
1543860123,5,0
1543860126,0,1
1543860724,4,0
1543861323,3,0
1543861923,89,23
1543863363,23,65
1543863783,4,1
1543864325,2,0
1543866007,83,157
1543866122,2,0
1543866724,1,0
1543867924,3,1
1543868525,8,0
1543869124,101,0
1543869723,3,0
1543870985,4,1
1543872123,3,0
1543872723,1,0
1543873323,91,21
1543873923,1,153
1543874524,2,0
1543875123,4,0
1543875723,2,0
1543876323,1,0
1543876923,1,0
1543877523,5,0
1543878191,78,0
1543878723,3,0
1543879323,6,0
1543879923,64,20
1543880523,3,0
1543881123,3,0
1543881843,0,196
1543882324,4,0
1543882923,2,0
1543883525,93,0
1543885387,2,0
1543885924,4,0
1543887072,67,11
1543887610,11,90
1543887723,1,0
1543888323,2,0
1543888983,0,1
1543889527,0,98
1543890123,7,0
1543890723,54,0
1543891323,3,0
1543891924,4,0
1543892584,1,0
1543893124,4,0
1543893724,9,0
1543894324,69,5
1543895763,7,174
1543896184,4,6
1543896722,2,0
1543897323,1,0
1543897945,89,0
1543898523,5,0
1543899786,2,1
1543901524,83,112
1543902123,1,0
1543902723,5,0
1543903387,4,0
1543903923,1,0
1543904524,1,0
1543905365,82,140
1543905723,1,0
1543906323,5,0
1543906984,91,2
1543907524,2,0
1543909323,2,0
1543909922,4,0
1543910583,1,2
1543912273,79,27
1543912923,2,0
1543914185,3,1
1543915323,2,0
1543915924,82,78
1543916523,2,0
1543917726,2,2
1543918923,7,0
1543919523,2,0
1543920124,66,18
1543920723,2,0
1543921384,66,21
1543921924,21,109
1543922523,1,0
1543925523,1,2
1543926722,73,8
1543928165,3,102
1543928586,2,1
1543929723,1,0
1543930328,75,0
1543930923,1,0
1543931523,2,0
1543932122,1,0
1543933323,1,0
1543933923,54,18
1543934163,18,69
1543935784,3,0
1543936323,1,0
1543936923,2,0
1543937523,72,10
1543938724,2,0
1543939386,2,1
1543939923,7,0
1543940404,0,125
1543941858,2,0
1543942323,2,0
1543942923,85,0
1543942988,0,3
1543943523,2,0
1543944123,1,0
1543944671,87,18
1543945323,2,0
1543946164,18,49
1543946589,10,4
1543947722,5,0
1543948083,0,73
1543948331,89,0
1543950189,3,0
1543950967,4,74
1543951323,2,0
1543951923,88,0
1543953723,2,0
1543953788,0,1
1543954323,1,0
1543954924,2,0
1543955523,1,0
1543956123,7,0
1543956962,100,71
1543957386,1,90
1543958523,2,0
1543959123,116,0
1543959724,1,0
1543960988,5,2
1543961763,6,89
1543962123,2,0
1543962723,68,0
1543963323,2,0
1543964589,1,0
1543965602,0,114
1543965723,3,0
1543966323,57,0
1543966923,4,0
1543967523,2,0
1543968189,7,1
1543968724,2,0
1543969323,3,0
1543969923,1,0
1543970523,6,0
1543971124,4,0
1543971789,79,9
1543973763,2,196
1543974123,4,0
1543975390,73,3
1543975925,9,0
1543976523,1,0
1543977100,53,11
1543977604,11,83
1543977723,6,0
1543978987,22,0
1543980123,4,0
1543980723,3,0
1543981324,22,0
1543982585,73,17
1543984563,91,153
1543984923,15,0
1543985523,7,0
1543986191,12,2
1543986726,17,0
1543987886,88,9
1543988524,2,0
1543989123,4,0
1543989786,3,2
1543990575,2,197
1543990923,10,0
1543991523,88,0
1543992123,10,0
1543992723,1,0
1543993387,6,3
1543993924,11,0
1543995123,82,12
1543995604,12,61
1543995723,1,0
1543996323,8,0
1543996990,8,1
1543998123,12,0
1543998723,74,16
1543999323,1,0
1543999923,10,0
1544000584,6,2
1544001123,3,0
1544001842,0,101
1544002324,138,0
1544002923,38,0
1544003523,6,0
1544004187,72,128
1544004723,2,0
1544005685,2,67
1544005944,85,0
1544006523,6,0
1544007123,8,0
1544007723,69,18
1544007789,0,5
1544008324,2,0
1544008923,3,0
1544010122,1,0
1544010723,0,103
1544011391,5,2
1544011923,9,0
1544012523,1,0
1544013723,89,0
1544014323,5,0
1544014923,75,21
1544014989,0,2
1544015523,3,0
1544016124,3,0
1544016723,13,0
1544017322,1,0
1544017923,18,0
1544018587,10,0
1544019609,0,93
1544019723,20,0
1544020323,99,0
1544020923,38,0
1544022123,4,0
1544022185,0,1
1544022723,14,0
1544023323,9,0
1544023885,57,18
1544024524,4,0
1544025123,4,0
1544025730,4,0
1544026323,3,0
1544026923,5,0
1544027523,81,111
1544028122,5,0
1544028724,5,0
1544029388,8,1
1544029923,11,0
1544030652,2,0
1544031123,83,27
1544031603,27,66
1544031723,2,1
1544032323,21,0
1544032988,14,2
1544034123,8,0
1544034723,82,19
1544035324,4,0
1544036523,49,0
1544037123,21,2
1544037844,7,131
1544038323,1,0
1544038923,11,0
1544040188,102,0
1544040724,1,0
1544041323,5,0
1544042523,5,0
1544043789,75,22
1544044324,0,139
1544044923,3,0
1544045523,99,0
1544046123,4,0
1544046722,2,0
1544047387,2,1
1544048523,6,0
1544049123,9,0
1544049724,5,0
1544050987,14,92
1544052243,152,0
1544052735,64,172
1544054590,86,18
1544055123,18,0
1544056083,18,105
1544056924,2,0
1544057523,2,0
1544058187,0,1
1544058722,2,0
1544059922,1,0
1544060406,69,95
1544061786,4,1
1544062323,0,74
1544062924,7,0
1544063522,65,0
1544064123,3,0
1544064722,1,0
1544065389,1,3
1544065923,1,0
1544066525,8,0
1544067123,46,0
1544067724,11,0
1544068323,70,74
1544068923,2,111
1544068992,0,2
1544069523,39,0
1544070123,1,0
1544070723,93,0
1544071322,4,0
1544071923,5,0
1544072587,5,1
1544073124,3,0
1544073723,7,0
1544074324,94,104
