DateTime,AddedIPs,RemovedIPs
1543720207,99,111
1543720818,8,5
1543721426,13,0
1543722747,71,138
1543723172,71,92
1543724103,60,6
1543724657,6,9
1543725728,91,105
1543726574,13,7
1543726806,50,44
1543727703,59,55
1543728501,10,14
1543729330,98,90
1543730443,14,8
1543731305,121,125
1543732340,18,17
1543732511,74,99
1543733708,70,42
1543734263,9,5
1543736183,133,92
1543737308,84,166
1543738099,13,28
1543738502,50,117
1543740015,12,27
1543740586,76,82
1543741945,96,55
1543742046,72,58
1543742888,47,0
1543743868,17,18
1543744508,92,151
1543745784,119,90
1543746487,96,0
1543747696,17,17
1543748403,142,119
1543749631,69,957
1543750507,118,96
1543751534,24,25
1543752307,187,86
1543753477,441,0
1543754408,280,89
1543755394,28,20
1543756207,301,89
1543757292,20,16
1543758127,96,74
1543759239,33,15
1543760103,124,70
1543761144,96,12
1543761904,54,96
1543763078,17,12
1543763407,89,114
1543764972,32,15
1543765211,137,122
1543766964,16,8
1543767304,126,85
1543768088,47,0
1543768835,24,14
1543769306,728,0
1543770004,97,175
1543770758,17,11
1543770903,177,76
1543772677,144,101
1543774602,191,102
1543775419,44,0
1543776735,30,18
1543777203,87,97
1543778669,14,8
1543779019,126,100
1543780834,119,110
1543781707,322,134
1543782984,63,30
1543784362,133,154
1543784922,15,11
1543786219,375,3
1543786835,23,23
1543788738,30,12
1543788903,96,193
1543789687,61,0
1543790678,67,76
1543792605,121,75
1543794757,89,151
1543794967,29,0
1543796107,48,99
1543796671,324,0
1543797017,240,0
1543797728,60,61
1543798575,31,15
1543798811,46,35
1543800514,89,61
1543800912,41,71
1543802442,14,14
1543803308,125,75
1543804359,14,13
1543805103,86,80
1543805709,55,0
1543806282,15,11
1543806903,85,81
1543808169,10,15
1543808676,102,127
1543809626,50,29
1543810359,21,8
1543812259,85,68
1543813204,128,96
1543814194,87,72
1543815295,60,70
1543816089,13,11
1543816567,77,0
1543817719,38,99
1543818026,20,12
1543819504,96,87
1543820178,19,19
1543821019,119,62
1543822094,37,10
1543822929,99,138
1543824027,96,48
1543824908,74,90
1543825940,16,28
1543826029,74,116
1543827309,64,47
1543827862,20,14
1543828509,76,92
1543829784,24,24
1543830996,116,154
1543831960,20,14
1543832114,60,81
1543832888,46,0
1543833859,17,17
1543834804,115,236
1543835785,26,832
1543836621,94,14
1543837329,46,93
1543837937,50,22
1543838419,38,27
1543839883,445,70
1543840518,75,106
1543841282,255,0
1543841769,34,27
1543842908,186,108
1543843945,29,13
1543844558,150,106
1543845864,19,8
1543847457,199,119
1543847792,20,13
1543848967,128,123
1543849959,39,9
1543851861,93,75
1543851903,103,77
1543853783,190,156
1543854625,0,511
1543855699,107,114
1543857617,141,148
1543858508,118,123
1543859539,38,12
1543860139,104,71
1543861473,39,16
1543862708,187,120
1543863372,1302,14
1543863604,42,0
1543864516,61,111
1543866049,90,123
1543866304,47,1
1543867965,14,14
1543868104,100,85
1543869038,42,0
1543869871,47,90
1543870805,34,53
1543871772,28,26
1543872614,75,554
1543872898,82,104
1543873602,23,15
1543874167,58,1
1543875305,56,107
1543875858,17,15
1543876214,32,0
1543877791,23,22
1543879718,173,719
1543880704,20,1
1543881880,406,155
1543883801,120,76
1543885723,28,15
1543886103,107,135
1543887638,14,11
1543887903,115,137
1543888567,31,35
1543889564,22,9
1543889716,44,67
1543891718,96,114
1543892057,63,0
1543893309,59,96
1543893874,7,4
1543894928,102,104
1543895793,30,19
1543896020,40,29
1543897742,83,75
1543898110,66,75
1543899680,22,10
1543900502,123,132
1543901560,14,9
1543902304,76,108
1543903482,14,13
1543904104,55,95
1543905403,24,19
1543905728,112,75
1543906111,0,240
1543907325,36,16
1543907704,111,91
1543909245,23,15
1543909328,104,71
1543911142,14,14
1543911248,114,103
1543912088,33,0
1543913076,18,14
1543915003,180,234
1543916530,94,125
1543916911,32,15
1543917620,27,0
