DateTime,AddedIPs,RemovedIPs
1543779723,14,0
1543780924,5,0
1543781523,3,0
1543782125,4,0
1543782723,2,0
1543784522,3,0
1543785724,9,0
1543786322,4,0
1543786923,1,0
1543788123,4,0
1543789323,6,0
1543790523,5,0
1543791723,10,0
1543792324,4,0
1543792923,1,0
1543793523,2,0
1543794123,3,0
1543794723,17,0
1543795324,1,0
1543795923,2,0
1543796523,2,0
1543797123,2,0
1543797723,2,0
1543798923,4,0
1543800723,2,0
1543801323,1,0
1543801923,1,0
1543802524,3,0
1543803123,7,0
1543803724,2,0
1543804923,5,0
1543805523,5,0
1543806124,10,0
1543806723,6,0
1543807324,2,0
1543807923,2,0
1543808523,8,0
1543809723,2,0
1543810923,1,0
1543811523,1,0
1543812123,18,0
1543813324,13,0
1543813923,8,0
1543814523,4,0
1543815124,2,0
1543815724,2,0
1543816322,1,0
1543816923,1,0
1543817524,5,0
1543818122,2,0
1543818723,2,0
1543819323,5,0
1543819923,5,0
1543820524,1,0
1543822323,3,0
1543822923,5,0
1543824124,1,0
1543824724,7,0
1543825322,6,0
1543826524,3,0
1543827123,1,0
1543827724,4,0
1543828923,3,0
1543829523,4,0
1543830123,2,0
1543831323,1,0
1543831923,1,0
1543832523,3,0
1543833122,2,0
1543834923,11,0
1543835523,10,0
1543836123,2,0
1543836723,5,0
1543837323,8,0
1543837923,2,0
1543838523,1,0
1543839123,1,0
1543840323,2,0
1543840923,4,0
1543842124,5,0
1543842723,3,0
1543843322,2,0
1543844523,3,0
1543845123,5,0
1543845724,3,0
1543846323,4,0
1543846923,1,0
1543848122,6,0
1543849323,1,0
1543850523,2,0
1543851123,2,0
1543851724,11,0
1543852324,1,0
1543853291,7,0
1543853523,3,0
1543854123,5,0
1543855323,1,0
1543855923,5,0
1543857723,4,0
1543858323,1,0
1543859523,1,0
1543860123,5,0
1543860724,4,0
1543861323,3,0
1543861923,4,0
1543863723,4,0
1543864325,2,0
1543866122,2,0
1543866724,1,0
1543867924,3,0
1543868525,8,0
1543869723,3,0
1543870923,4,0
1543872123,3,0
1543872723,1,0
1543873323,1,0
1543873923,1,0
1543874524,2,0
1543875123,4,0
1543875723,2,0
1543876323,1,0
1543876923,1,0
1543877523,5,0
1543878723,3,0
1543879323,6,0
1543879923,4,0
1543880523,3,0
1543881123,3,0
1543882324,4,0
1543882923,2,0
1543885323,1,0
1543885924,4,0
1543887723,1,0
1543888323,2,0
1543890123,7,0
1543890723,4,0
1543891323,3,0
1543891924,4,0
1543892523,1,0
1543893124,4,0
1543893724,9,0
1543895523,7,0
1543896123,4,0
1543896722,2,0
1543897323,1,0
1543897923,2,0
1543898523,5,0
1543899723,2,0
1543901524,3,0
1543902123,1,0
1543902723,5,0
1543903324,4,0
1543903923,1,0
1543904524,1,0
1543905123,6,0
1543905723,1,0
1543906323,5,0
1543906923,1,0
1543907524,2,0
1543909323,2,0
1543909922,4,0
1543910522,1,0
1543912923,2,0
1543914123,3,0
1543915323,2,0
1543916523,2,0
1543917723,2,0
1543918923,7,0
1543919523,2,0
1543920124,3,0
1543920723,2,0
1543922523,1,0
1543925523,1,0
1543927923,3,0
1543928523,2,0
1543929723,1,0
1543930923,1,0
1543931523,2,0
1543932122,1,0
1543933323,1,0
1543933923,1,0
1543935723,3,0
1543936323,1,0
