DateTime,AddedIPs,RemovedIPs
1543202434,18,35
1543204336,14,17
1543206277,11,7
1543208173,20,19
1543210094,23,16
1543212016,34,19
1543213959,28,19
1543216121,28,20
1543218035,22,15
1543219957,21,17
1543221860,24,14
1543223782,25,25
1543225695,19,11
1543227636,20,17
1543229538,19,19
1543231468,23,1096
1543233391,47,39
1543235542,557,1
1543237453,31,14
1543239369,40,21
1543241308,29,12
1543243211,41,19
1543245157,44,15
1543247302,53,27
1543249237,38,21
1543251133,34,12
1543253076,44,17
1543255235,41,19
1543257156,19,26
1543259057,34,26
1543260911,43,23
1543262899,47,21
1543264808,85,26
1543266735,45,32
1543268669,28,32
1543270574,37,28
1543272488,25,19
1543274409,27,31
1543276330,25,28
1543278285,453,0
1543280171,15,17
1543282097,18,15
1543284075,22,12
1543285957,15,12
1543288117,24,10
1543290011,17,25
1543292910,47,18
1543294838,33,14
1543296737,22,18
1543298674,23,14
1543300578,30,26
1543302517,32,21
1543304432,24,19
1543306365,18,22
1543308252,16,23
1543310180,26,36
1543312101,21,32
1543314043,22,30
1543315934,18,16
1543317867,18,1281
1543319789,37,46
1543321707,549,6
1543323641,25,28
1543325554,18,15
1543327476,20,24
1543329399,39,22
1543331317,31,17
1543333471,24,17
1543335382,26,13
1543337531,43,12
1543339472,23,33
1543341389,19,27
1543343289,21,46
1543345456,17,16
1543347395,24,24
1543349326,25,19
1543351236,34,29
1543353402,49,25
1543356280,61,34
1543358172,34,14
1543360119,22,22
1543362015,17,35
1543363960,467,1
1543365877,30,23
1543367779,19,17
1543369951,28,19
1543371870,20,23
1543373775,24,16
1543375955,22,20
1543377864,22,14
1543380020,27,9
1543381963,14,23
1543383860,38,26
1543385802,34,36
1543387956,22,25
1543389873,37,18
1543391775,32,22
1543393960,28,21
1543395873,20,23
1543397801,29,26
1543399726,23,16
1543401621,32,16
1543403560,19,1452
1543405466,29,27
1543407388,517,0
1543409295,32,15
1543411223,46,21
1543413155,39,24
1543415079,41,23
1543417234,55,16
1543419389,31,15
1543421382,24,20
1543423218,29,15
1543425159,33,30
1543427076,36,31
1543428989,38,32
1543431137,39,32
1543433059,24,23
1543434996,31,23
1543436916,38,19
1543438829,48,26
1543440760,48,23
1543442922,73,27
1543444834,54,23
1543446741,19,15
1543448659,19,26
1543450823,521,4
1543452753,27,12
1543454674,25,13
1543456598,27,23
1543458509,16,19
1543460472,37,10
1543462358,19,13
1543464275,23,13
1543466413,31,18
1543468388,31,28
1543470277,36,28
1543472204,33,31
1543474124,22,21
1543476034,40,31
1543477957,35,19
1543479875,36,16
1543481775,41,24
1543483968,49,27
1543485860,36,23
1543487793,36,23
1543489723,33,1222
1543491641,46,42
1543493563,611,0
1543495461,54,32
1543497393,38,25
1543499314,37,24
1543501218,29,29
1543503160,32,24
1543505076,31,25
1543506970,29,30
1543509156,45,23
1543511080,27,22
1543512991,30,21
1543514924,28,26
1543516839,92,30
1543518744,34,19
1543520655,18,29
1543522604,20,26
1543524502,29,27
1543526439,26,31
1543528337,34,15
1543530291,26,25
1543532213,27,29
1543534116,21,24
1543536025,569,0
1543537940,30,31
1543539896,22,17
1543541773,30,26
1543543960,16,24
1543545854,21,17
1543547804,11,27
1543549723,19,25
1543551625,22,22
1543553560,8,25
1543555474,12,12
1543557397,10,24
1543559315,16,27
1543561227,13,21
1543563144,37,25
1543565062,37,23
1543567002,25,26
1543568927,14,21
1543570844,30,24
1543573011,29,27
1543574891,24,28
1543576835,54,1649
1543578751,36,39
1543580676,776,0
1543582594,43,28
1543584516,19,28
1543586442,23,30
1543588343,44,17
1543590281,20,34
1543592186,23,24
1543594166,23,17
1543596018,26,40
1543597940,34,31
1543599877,28,36
1543601785,30,38
1543603715,31,26
1543605620,25,31
1543607556,23,37
1543609694,26,46
1543611879,21,51
1543614036,32,59
1543615968,29,35
1543617859,26,39
1543619783,37,40
1543621959,32,43
1543623853,710,0
1543625794,21,26
1543628204,24,33
1543630100,20,22
1543632034,20,25
1543634186,26,22
1543636111,11,20
1543638020,18,21
1543639939,14,28
1543641876,12,29
1543643773,82,40
1543645695,13,29
1543647639,34,30
1543649556,25,32
1543651458,21,31
1543653392,32,47
1543655298,17,40
1543657212,29,52
1543659136,19,34
1543661057,21,39
1543662980,31,1368
1543664891,33,32
1543666822,551,0
1543668749,30,24
1543670652,29,27
1543672835,37,33
1543674737,32,11
1543676656,36,17
1543678588,40,20
1543680538,18,17
1543682412,20,20
1543684357,22,15
1543686254,33,18
1543688177,22,18
1543690095,27,20
1543692021,22,19
1543693955,23,34
1543695852,21,34
1543697775,31,22
1543699694,21,24
1543701636,31,31
1543703560,30,34
1543705465,24,24
1543707381,24,34
1543709324,492,0
1543711217,29,25
1543713142,42,26
1543715057,10,21
1543716980,21,17
1543718919,11,20
1543720818,16,6
1543722747,14,20
1543724657,9,17
1543726574,15,10
1543728501,12,18
1543730443,16,15
1543732340,20,23
1543734263,15,9
