DateTime,AddedIPs,RemovedIPs
1536761532,4,3
1536776167,8,1
1536790811,4,1
1536805460,2,0
1536820104,3,0
1536834746,3,1
1536849610,6,1
1536864509,4,1
1536879660,5,0
1536894263,1,5
1536909146,1,1
1536924030,8,3
1536938910,6,0
1536953784,16,0
1536968409,34,0
1536983316,15,0
1536997952,14,3
1537012857,14,0
1537027503,24,1
1537042097,17,0
1537056973,20,2
1537071865,24,0
1537086739,15,0
1537101374,17,0
1537116258,8,0
1537131134,11,1
1537146038,9,0
1537160651,2,0
1537175545,4,1
1537190421,8,0
1537205047,1,0
1537219693,2,0
1537234330,3,1
1537249210,4,2
1537264110,2,1
1537278989,3,1
1537293865,3,1
1537308745,4,1
1537323368,7,1
1537338017,2,1
1537352666,1,0
1537367539,5,1
1537382167,7,0
1537397057,5,0
1537411949,20,1
1537426832,13,0
1537441458,8,1
1537456343,12,0
1537471213,8,1
1537486106,8,1
1537500742,17,0
1537515372,12,0
1537530022,9,3
1537544648,8,0
1537559288,13,4
1537574174,4,1
1537589052,5,0
1537603685,9,1
1537618349,3,3
1537633222,18,0
1537647847,7,0
1537662489,11,0
1537677141,13,0
1537691787,3,0
1537706404,10,1
1537721053,9,1
1537735688,9,0
1537750582,259,0
1537765215,18,2
1537779863,7,1
1537794748,13,0
1537809386,14,0
1537824007,7,2
1537838661,10,1
1537853292,10,2
1537867930,5,1
1537882813,5,3
1537897451,7,3
1537912092,4,0
1537927000,7,0
1537941856,4,0
1537956743,7,2
1537971625,7,0
1537986503,5,0
1538001384,10,0
1538016263,8,1
1538031135,12,1
1538045771,5,2
1538060668,6,0
1538075536,10,0
1538090420,9,1
1538105452,5,0
1538120184,3,1
1538135051,5,0
1538149948,7,1
1538164565,9,1
1538179225,6,0
1538194106,15,0
1538208729,15,2
1538223379,7,1
1538238010,7,2
1538252661,5,2
1538267291,11,0
1538282175,10,0
1538296805,13,0
1538311448,10,0
1538326089,5,1
1538340988,8,1
1538355605,5,1
1538384901,7,1
1538399531,3,1
1538414178,4,0
1538429056,4,0
1538443934,5,0
1538458573,3,2
1538473210,4,0
1538487855,2,1
1538502735,6,1
1538517367,4,0
1538532264,1,0
1538547142,2,0
1538561764,7,1
1538576423,7,0
1538591064,3,1
1538605692,7,1
1538620352,2,4
1538635223,9,1
1538649850,6,1
1538664500,5,3
1538679131,3,0
1538694040,7,0
1538708667,2,1
1538723787,3,0
1538738419,9,0
1538753049,2,0
1538767955,3,1
1538782582,4,2
1538797227,2,0
1538812113,5,1
1538826976,3,1
1538841613,1,1
1538856507,3,2
1538871373,4,0
1538886259,2,0
1538900885,6,0
1538915543,6,2
1538930426,3,2
1538945052,2,1
1538959716,7,0
1538974346,2,0
1538989232,1,2
1539003848,7,1
1539018500,1,1
1539033392,2,0
1539048286,3,3
1539062885,1,1
1539077549,2,3
1539092195,2,1
1539106808,2,0
1539121452,2,1
1539136106,9,1
1539150724,6,0
1539165382,8,0
1539180018,12,1
1539194647,7,3
1539209288,6,0
1539223943,9,1
1539238566,2,1
1539253222,4,4
1539267862,5,1
1539282493,6,2
1539297126,6,2
1539311773,5,2
1539326664,3,5
1539341540,5,0
1539356194,1,1
1539370835,6,1
1539385946,5,4
1539400581,2,1
1539415215,1,0
1539429850,4,5
1539444744,8,1
1539459366,4,1
1539474007,2,0
1539488660,1,1
1539503291,0,2
1539517952,2,3
1539532566,4,4
1539547218,3,2
1539562095,1,1
1539576987,1,0
1539591511,2,0
1539620654,0,2
1539635296,2,3
1539649944,1,0
1539664842,1,1
1539679449,5,3
1539694101,6,0
1539708733,9,0
1539723629,9,0
1539738262,9,1
1539753131,6,1
1539767769,3,2
1539782663,5,1
1539797294,7,4
1539811933,3,0
1539826566,4,2
1539841223,9,0
1539870976,1,2
1539885630,4,1
1539900247,7,1
1539914897,2,1
1539929790,5,0
1539944667,3,4
1539959544,13,2
1539974423,6,0
1539989047,10,0
1540003692,3,2
1540018342,3,2
1540032988,6,3
1540047857,3,1
1540062745,2,1
1540077366,6,1
1540092021,2,0
1540106891,1,2
1540121535,10,1
1540136179,3,2
1540150821,3,2
1540165447,2,0
1540180101,5,0
1540194738,3,0
1540209659,0,1
1540224509,6,0
1540239373,2,1
1540254010,4,0
1540268663,1,0
1540283547,3,0
1540298429,2,2
1540327951,3,1
1540342832,2,1
1540357463,2,0
1540372110,0,1
1540386995,4,0
1540401633,2,2
1540416509,2,1
1540431145,3,0
1540446016,2,1
1540460891,2,1
1540475537,2,1
1540490193,1,2
1540504821,4,0
1540519711,5,0
1540534346,3,2
1540548966,4,1
1540563612,2,2
1540578491,1,1
1540593133,4,2
1540607787,2,1
1540622651,2,1
1540637534,5,0
1540652186,4,0
1540667067,4,3
1540681945,3,5
1540696831,2,5
1540711490,1,0
1540726234,1,1
1540740986,1,1
1540755630,1,2
1540770248,4,1
1540785138,5,1
1540800021,3,2
1540814900,1,1
1540829545,2,2
1540844173,1,1
1540858836,1,0
1540873448,2,3
1540888093,0,1
1540902732,2,0
1540917629,2,2
1540932498,3,3
1540947126,3,1
1540961774,2,1
1540976431,0,1
1540991051,1,1
1541005949,2,4
1541021077,7,3
1541035688,1,1
1541050589,1,1
1541065470,1,4
1541080109,1,0
1541094749,3,0
1541109389,2,3
1541124019,0,4
1541138666,2,0
1541153310,4,2
1541168175,1,1
1541183049,3,1
1541197934,1,3
1541212564,1,1
1541227450,1,1
1541242345,3,1
1541257235,0,2
1541271871,2,0
1541286491,4,0
1541301154,1,1
1541315787,2,0
1541330404,3,1
1541345053,3,1
1541359704,8,0
1541374589,15,3
1541389466,14,2
1541404332,19,0
1541418974,21,0
1541433869,16,0
1541448731,15,1
1541463381,14,2
1541478268,5,1
1541492894,15,0
1541507530,14,1
1541522168,19,2
1541537313,17,0
1541552078,17,4
1541567050,12,1
1541581691,13,2
1541596586,14,0
1541611472,10,1
1541626105,15,0
1541640970,15,2
1541655868,4,1
1541670731,7,0
1541685369,11,0
1541700032,11,0
1541714650,3,1
1541729528,9,1
1541744170,11,1
1541758813,7,1
1541773464,6,2
1541788344,17,0
1541803227,23,0
1541817849,7,2
1541832736,13,2
1541847389,8,1
1541862175,10,0
1541876891,8,0
1541891534,15,2
1541906178,7,1
1541920805,9,1
1541935474,10,0
1541950108,15,0
1541964743,8,2
1541979380,16,0
1541994023,7,4
1542008914,2,0
1542023524,5,2
1542038169,22,1
1542053068,14,2
1542067711,12,0
1542082572,7,3
1542097466,9,1
1542112349,8,0
1542127224,9,4
1542141867,9,1
1542156749,25,1
1542171639,5,2
1542186262,5,0
1542201149,12,3
1542215795,5,0
1542230412,2,1
1542245066,5,0
1542259935,14,1
1542274596,8,7
1542289220,7,3
1542304108,8,1
1542318747,3,4
1542333633,5,0
1542348271,3,1
1542363146,4,0
1542378013,5,0
