DateTime,AddedIPs,RemovedIPs
1543650304,621,652
1543651204,729,818
1543652105,604,699
1543653004,652,691
1543653904,591,725
1543654804,605,345
1543655704,615,455
1543656604,655,545
1543657504,699,438
1543658405,807,553
1543659304,801,424
1543661105,2848,1705
1543662005,773,626
1543662904,1286,794
1543663805,1440,663
1543664705,1496,965
1543665605,773,699
1543666504,1215,980
1543667405,997,1260
1543668305,611,614
1543669204,677,581
1543670105,668,856
1543671004,702,687
1543672804,1302,1119
1543673704,620,580
1543674605,579,623
1543675505,626,438
1543676404,669,575
1543677304,580,579
1543678205,605,544
1543680005,1263,1126
1543680905,630,586
1543681805,627,598
1543682704,646,892
1543683604,673,810
1543684505,1501,1064
1543686304,1521,1431
1543687204,1141,956
1543688104,1119,831
1543689005,718,740
1543689904,575,600
1543690804,630,617
1543691704,651,487
1543692604,655,608
1543694404,1188,1194
1543695304,496,458
1543696204,526,458
1543697104,466,433
1543698905,911,1031
1543700704,1221,1307
1543701604,671,725
1543702504,587,628
1543703405,613,535
1543704304,681,584
1543705204,510,453
1543706104,588,324
1543707904,1249,1556
1543708804,504,347
1543709704,552,474
1543710604,664,829
1543711504,706,681
1543712404,660,409
1543713303,630,453
1543715104,1032,1059
1543716004,685,691
1543716904,749,668
1543717804,696,619
1543718704,621,845
1543719604,577,600
1543720504,444,454
1543722304,1168,1171
1543723204,657,658
1543724104,650,609
1543725004,610,595
1543725904,544,541
1543726804,689,649
1543727704,663,594
1543729503,1375,1250
1543730404,713,776
1543731303,588,688
1543732204,756,851
1543733104,872,865
1543734004,846,836
1543734904,855,810
1543736704,1409,1439
1543737603,627,657
1543738503,571,640
1543739404,611,636
1543740304,623,619
1543741204,685,738
1543742104,631,675
1543743904,1321,1548
1543744804,861,946
1543745704,807,842
1543746605,810,871
1543747504,1020,1019
1543748404,819,768
1543749304,750,572
1543751104,2460,2178
1543752904,1418,1526
1543753805,785,847
1543754704,683,525
1543755605,1216,894
1543756503,1103,1015
1543757405,1097,1029
1543758305,863,885
1543759204,800,789
1543760104,703,877
1543761004,849,1013
1543761904,892,948
1543762804,849,1148
1543763704,919,1120
1543764603,969,1739
1543766404,1451,1588
1543767305,1053,1076
1543768204,866,1180
1543769104,881,977
1543770005,860,823
1543770905,799,685
1543772704,1408,1731
1543773604,518,556
1543774504,748,816
1543775404,763,879
1543777204,1355,1189
1543778104,845,795
1543779004,795,804
1543780804,1317,1222
1543781704,568,494
1543783503,1053,863
1543784403,539,492
1543785304,541,468
1543786204,584,582
1543787104,737,678
1543788004,647,657
1543788904,719,693
1543789804,686,628
1543791605,1873,1780
1543792505,1000,1114
1543793404,914,1343
1543795205,1823,2448
1543796104,899,685
1543797004,768,910
1543797904,714,566
1543798804,659,567
1543799705,639,613
1543800605,575,500
1543801504,662,413
1543802405,646,403
1543803304,621,475
1543804205,629,703
1543805104,651,647
1543806004,562,494
1543806904,636,535
1543807805,528,480
1543809605,1254,1140
1543810504,675,620
1543812304,1486,1441
1543813204,800,785
1543814105,873,869
1543815905,1947,1786
1543816804,980,940
1543817704,1307,1306
1543818604,1017,1822
1543819505,895,1062
1543820404,776,1116
1543821304,719,759
1543823103,1563,1729
1543824004,754,524
1543824904,805,459
1543825804,621,311
1543826704,925,512
1543827604,704,366
1543828505,652,399
1543830304,2657,2834
1543831205,881,1750
1543832105,1044,1650
1543833904,1781,3283
1543834804,958,1764
1543835705,956,1456
1543836605,844,1119
1543838404,1260,1408
1543840204,1894,2476
1543842004,1792,1506
1543842904,1620,1256
1543843806,1245,1510
1543844705,1304,1594
1543845604,1538,1748
1543846504,1252,1299
1543847405,901,743
1543848304,977,790
1543849206,871,652
1543850104,876,565
1543851904,1465,576
1543852805,680,340
1543853705,722,322
1543854605,1076,602
1543855505,901,537
1543856404,844,596
1543857305,811,460
1543859107,1791,997
1543860007,781,455
1543860906,780,510
1543862704,1360,1053
1543863604,1194,894
1543864505,816,981
1543866305,1490,3060
1543867207,1227,1682
1543869006,2086,2396
1543870807,2547,3061
1543871706,765,1311
1543872606,622,1657
1543873506,584,1221
1543874407,726,1394
1543875307,790,2365
1543876206,740,1922
1543877106,643,1429
1543878906,1385,2041
1543880706,1370,1645
1543881606,746,1094
1543882506,740,1324
1543884306,1182,1199
1543885207,576,271
1543886106,750,389
1543887006,740,322
1543887907,566,346
1543888805,553,427
