DateTime,AddedIPs,RemovedIPs
1539110432,14,22
1539121232,16,15
1539131432,18,20
1539140431,19,0
1539150631,20,22
1539160832,14,15
1539171632,17,20
1539181832,19,16
1539190842,11,14
1539200431,21,17
1539211831,8,12
1539222631,18,19
1539234632,23,15
1539247832,15,36
1539259232,16,14
1539271232,21,19
1539283832,16,9
1539294631,12,18
1539306043,12,21
1539317431,14,22
1539329432,14,22
1539340832,16,17
1539352831,20,13
1539363631,20,14
1539374431,19,19
1539384630,21,17
1539395430,18,0
1539405630,17,29
1539415831,17,0
1539425431,21,16
1539435030,18,21
1539444630,22,15
1539453632,20,22
1539463231,16,21
1539472831,20,17
1539483631,13,13
1539494431,17,17
1539505230,21,19
1539516031,14,17
1539527431,16,16
1539536431,16,23
1539546030,15,17
1539556831,19,13
1539567631,13,10
1539579631,14,29
1539589830,18,0
1539600630,10,18
1539612030,16,39
1539622232,21,0
1539632431,21,14
1539641431,21,43
1539649830,22,0
1539660031,16,13
1539670231,18,17
1539681633,14,14
1539691831,15,13
1539703230,18,21
1539714031,17,15
1539723031,19,23
1539732030,19,16
1539741030,14,15
1539750630,21,15
1539759630,19,16
1539768632,21,0
1539778231,18,35
1539788434,14,19
1539799830,8,0
1539811831,12,39
1539820830,16,15
1539831031,17,18
1539841831,11,19
1539852630,14,16
1539863431,9,11
1539873630,13,12
1539884431,15,8
1539895231,17,14
1539905431,16,14
1539914431,18,19
1539924030,16,16
1539935430,17,10
1539945030,18,13
1539954030,15,17
1539964230,17,18
1539973830,17,21
1539982230,22,18
1539991830,18,14
1540001430,20,19
1540011630,20,16
1540020030,19,18
1540029630,15,0
1540038030,14,17
1540047029,19,14
1540056031,13,20
1540065030,13,16
1540073431,20,12
1540082430,17,17
1540090830,19,21
1540099231,11,18
1540108830,16,20
1540116631,18,11
1540123830,13,0
1540134030,21,19
1540143031,20,28
1540152030,12,21
1540161030,19,15
1540169430,16,17
1540178429,13,18
1540187430,18,18
1540196430,22,13
1540206030,19,22
1540216830,15,16
1540225830,17,17
1540234830,18,18
1540245030,18,19
1540254030,15,15
1540263630,16,13
1540273230,18,14
1540283430,16,19
1540292431,17,37
1540301430,19,19
1540309829,19,0
1540318230,15,15
1540327232,15,15
1540337430,16,16
1540345830,19,19
1540354829,14,16
1540364027,14,16
1540372231,16,14
1540381230,20,15
1540390231,16,19
1540399230,14,18
1540406430,23,0
1540415430,9,38
1540423230,16,0
1540432229,16,16
1540442430,15,14
1540450829,14,36
1540460431,17,12
1540470030,19,18
1540479636,17,10
1540487442,14,0
1540496430,15,35
1540506030,14,15
1540514432,15,19
1540523430,15,18
1540532431,18,17
1540539630,13,0
1540547430,11,13
1540554629,11,16
1540562430,15,15
1540569629,16,13
1540576830,14,16
1540584629,18,0
1540591230,17,13
1540598429,17,14
1540605631,11,10
1540612830,9,12
1540621229,13,18
1540629029,11,12
1540636230,13,16
1540643430,9,12
1540651829,11,12
1540659630,14,13
1540667431,13,14
1540674029,16,11
1540681830,16,12
1540688429,13,17
1540695630,12,10
1540703429,11,9
1540710630,18,16
1540719030,14,13
1540726838,12,15
1540735830,13,14
1540744829,11,11
1540754430,16,28
1540762830,17,11
1540769429,13,18
1540776029,13,16
1540785029,22,11
1540794629,16,12
1540802430,15,13
1540810829,16,19
1540819230,11,13
1540827629,11,18
1540836630,14,15
1540845030,14,19
1540852231,17,14
1540858830,17,16
1540866631,12,19
1540873829,15,0
1540879829,14,15
1540888230,16,15
1540895430,11,13
1540903230,15,17
1540910429,16,12
1540916429,14,14
1540924230,16,9
1540930830,13,0
1540937429,15,13
1540944630,9,18
1540953029,10,24
1540959629,20,17
1540966829,15,0
1540974629,12,29
1540982429,14,12
1540990830,12,14
1540998629,18,16
1541006431,9,11
1541013629,17,14
1541020230,12,14
1541028030,20,32
1541035230,17,0
1541043629,20,14
1541049629,11,12
1541056829,15,18
1541065230,14,16
1541071829,12,14
1541079029,12,10
1541085629,17,18
1541092829,14,0
1541100630,17,14
1541107229,15,26
1541114429,16,0
1541121629,15,13
1541130028,15,27
1541136629,8,0
1541143228,11,31
1541150431,14,0
1541157630,17,12
1541164829,13,13
1541172630,17,10
1541179229,12,28
1541186429,15,16
1541193630,14,0
1541200229,14,29
1541208030,11,17
1541215829,11,0
1541222428,17,14
1541230229,19,15
1541236229,11,24
1541244030,13,17
1541251229,13,14
1541259029,13,0
1541265629,11,26
1541272829,13,0
1541280030,12,8
1541287229,11,23
1541294429,16,0
1541301629,9,9
1541308829,15,14
1541316029,13,26
1541324429,14,18
1541331030,15,0
1541338229,18,29
1541345430,16,18
1541352630,12,0
1541359830,14,34
1541365830,13,11
1541373629,14,13
1541380831,11,15
1541388629,15,15
1541395229,10,18
1541402428,10,0
1541410231,9,13
1541416828,13,13
1541425230,16,23
1541433629,15,15
1541440229,15,11
1541446829,13,15
1541454030,15,11
1541461229,14,0
1541467829,17,24
1541473828,8,0
1541481030,0,16
1541488230,16,13
1541496030,11,26
1541502029,12,0
1541508630,16,17
1541515229,19,14
1541522429,13,0
1541530230,16,24
1541538630,13,28
1541547031,16,17
1541553630,19,0
1541562030,18,16
1541570434,17,11
1541578229,12,18
1541586630,15,18
1541594431,15,30
1541603429,13,18
1541610032,14,19
1541617230,19,12
1541624430,12,0
1541631030,18,14
1541637630,22,17
1541650834,18,30
1541668234,17,23
1541682634,18,15
1541697634,17,50
1541713234,20,46
1541726432,17,47
1541740234,20,25
1541754633,18,16
1541769634,14,0
1541786435,23,32
1541801436,16,0
1541817635,21,36
1541834435,17,20
1541850035,23,20
1541866235,18,15
1541883636,24,24
1541898036,19,22
1541911834,16,18
1541926835,19,21
1541943034,23,17
1541958035,17,22
1541974235,21,21
1541989235,24,17
1542006035,23,23
1542021035,22,18
1542035434,15,21
1542051036,23,20
1542064835,24,24
1542079235,22,24
1542095435,20,22
1542109836,21,16
1542126635,19,19
1542141635,15,25
1542155433,16,21
1542171034,13,21
1542186034,17,15
1542199233,21,15
1542213033,23,0
1542226233,23,15
1542237633,22,16
1542250834,17,19
1542263432,16,19
1542275432,19,20
1542288633,20,22
1542300034,22,0
1542312633,18,37
1542324633,16,20
1542335432,18,0
1542348033,21,19
1542359433,17,16
1542370236,21,21
1542381633,15,19
