DateTime,AddedIPs,RemovedIPs
1539057030,22,24
1539069031,22,23
1539080432,19,20
1539090032,24,21
1539100231,23,24
1539110432,18,18
1539121232,24,23
1539131432,22,22
1539140431,24,24
1539150631,24,23
1539160832,24,26
1539171632,26,23
1539181832,21,24
1539190842,22,21
1539200431,24,23
1539211831,21,24
1539222631,23,21
1539234632,26,25
1539247832,25,25
1539259232,22,24
1539271232,22,20
1539283832,18,18
1539294631,22,23
1539306043,19,20
1539317431,19,20
1539329432,18,16
1539340832,18,20
1539352831,23,23
1539363631,22,20
1539374431,22,23
1539384630,24,23
1539395430,21,21
1539405630,17,17
1539415831,24,25
1539425431,23,22
1539435030,21,23
1539444630,27,23
1539453632,23,26
1539463231,23,24
1539472831,24,22
1539483631,20,21
1539494431,20,20
1539505230,26,23
1539516031,21,23
1539527431,20,21
1539536431,25,24
1539546030,26,25
1539556831,22,24
1539567631,24,22
1539579631,23,24
1539589830,22,21
1539600630,20,23
1539612030,20,19
1539622232,24,22
1539632431,22,21
1539641431,23,27
1539649830,24,21
1539660031,24,26
1539670231,22,22
1539681633,20,19
1539691831,23,23
1539703230,22,22
1539714031,24,24
1539723031,26,24
1539732030,26,27
1539741030,23,24
1539750630,23,22
1539759630,24,26
1539768632,22,23
1539778231,25,23
1539788434,22,23
1539799830,16,14
1539811831,19,20
1539820830,23,22
1539831031,23,24
1539841831,25,25
1539852630,17,16
1539863431,16,21
1539873630,25,21
1539884431,24,23
1539895231,27,26
1539905431,21,23
1539914431,25,25
1539924030,22,23
1539935430,20,21
1539945030,26,23
1539954030,23,24
1539964230,24,24
1539973830,22,21
1539982230,24,26
1539991830,25,24
1540001430,24,23
1540011630,25,25
1540020030,21,22
1540029630,24,24
1540038030,23,23
1540047029,23,23
1540056031,21,24
1540065030,25,21
1540073431,22,25
1540082430,22,19
1540090830,24,24
1540099231,21,25
1540108830,23,22
1540116631,25,22
1540123830,21,26
1540134030,26,21
1540143031,27,26
1540152030,22,25
1540161030,24,23
1540169430,24,24
1540178429,21,22
1540187430,24,23
1540196430,26,25
1540206030,25,25
1540216830,25,25
1540225830,23,24
1540234830,25,23
1540245030,25,27
1540254030,23,23
1540263630,22,25
1540273230,26,21
1540283430,22,24
1540292431,22,22
1540301430,25,24
1540309829,24,24
1540318230,23,23
1540327232,24,23
1540337430,25,25
1540345830,23,25
1540354829,23,24
1540364027,25,22
1540372231,23,25
1540381230,24,23
1540390231,19,21
1540399230,20,18
1540406430,25,26
1540415430,23,24
1540423230,24,22
1540432229,23,23
1540442430,23,25
1540450829,24,22
1540460431,23,24
1540470030,22,23
1540479636,23,22
1540487442,24,23
1540496430,20,22
1540506030,23,20
1540514432,23,25
1540523430,21,22
1540532431,20,20
1540539630,23,24
1540547430,22,21
1540554629,23,23
1540562430,22,22
1540569629,24,23
1540576830,23,24
1540584629,25,22
1540591230,20,23
1540598429,25,22
1540605631,23,25
1540612830,21,22
1540621229,22,20
1540629029,20,23
1540636230,25,22
1540643430,24,24
1540651829,23,24
1540659630,23,22
1540667431,23,25
1540674029,22,21
1540681830,26,24
1540688429,23,25
1540695630,23,24
1540703429,21,23
1540710630,25,22
1540719030,19,18
1540726838,23,24
1540735830,20,21
1540744829,23,23
1540754430,22,20
1540762830,25,24
1540769429,25,27
1540776029,24,24
1540785029,26,25
1540794629,22,22
1540802430,25,25
1540810829,19,21
1540819230,22,22
1540827629,17,16
1540836630,19,21
1540845030,21,19
1540852231,25,25
1540858830,22,25
1540866631,24,21
1540873829,24,24
1540879829,22,23
1540888230,21,19
1540895430,24,25
1540903230,21,22
1540910429,24,24
1540916429,23,22
1540924230,27,25
1540930830,22,27
1540937429,23,20
1540944630,21,22
1540953029,21,22
1540959629,26,23
1540966829,23,25
1540974629,23,22
1540982429,25,25
1540990830,24,24
1540998629,24,25
1541006431,21,22
1541013629,22,20
1541020230,25,25
1541028030,24,24
1541035230,22,21
1541043629,23,24
1541049629,26,25
1541056829,23,24
1541065230,22,23
1541071829,23,21
1541079029,21,25
1541085629,23,20
1541092829,24,24
1541100630,27,25
1541107229,24,26
1541114429,23,22
1541121629,23,24
1541130028,22,22
1541136629,23,25
1541143228,25,23
1541150431,24,23
1541157630,27,26
1541164829,24,26
1541172630,23,23
1541179229,23,23
1541186429,24,25
1541193630,23,23
1541200229,23,22
1541208030,22,23
1541215829,23,23
1541222428,24,24
1541230229,24,21
1541236229,23,24
1541244030,25,26
1541251229,24,23
1541259029,23,24
1541265629,20,22
1541272829,23,19
1541280030,23,26
1541287229,24,23
1541294429,21,22
1541301629,22,23
1541308829,23,20
1541316029,23,23
1541324429,18,19
1541331030,25,24
1541338229,24,25
1541345430,21,22
1541352630,22,23
1541359830,22,19
1541365830,22,22
1541373629,23,24
1541380831,21,22
1541388629,26,23
1541395229,21,22
1541402428,21,23
1541410231,23,23
1541416828,22,21
1541425230,22,25
1541433629,22,20
1541440229,23,22
1541446829,22,22
1541454030,22,24
1541461229,22,22
1541467829,23,21
1541473828,22,25
1541488230,24,21
1541496030,23,24
1541502029,21,21
1541508630,20,21
1541515229,23,21
1541522429,25,25
1541530230,22,23
1541538630,19,17
1541547031,20,19
1541553630,26,27
1541562030,22,23
1541570434,23,23
1541578229,19,21
1541586630,20,18
1541594431,25,23
1541603429,20,21
1541610032,19,22
1541617230,22,21
1541624430,24,24
1541631030,26,24
1541637630,24,26
1541650834,26,24
1541668234,24,26
1541682634,21,19
1541697634,19,19
1541713234,21,23
1541726432,20,21
1541740234,21,21
1541754633,22,20
1541769634,19,20
1541786435,26,24
1541801436,25,26
1541817635,24,25
1541834435,19,19
1541850035,23,23
1541866235,20,18
1541883636,24,24
1541898036,20,21
1541911834,19,18
1541926835,21,24
1541943034,24,21
1541958035,20,21
1541974235,21,21
1541989235,25,25
1542006035,24,25
1542021035,22,23
1542035434,18,18
1542051036,24,21
1542064835,25,25
1542079235,22,22
1542095435,21,23
1542109836,22,22
1542126635,21,21
1542141635,19,19
1542155433,19,18
1542171034,17,20
1542186034,25,21
1542199233,23,25
1542213033,24,23
1542226233,23,23
1542237633,23,23
1542250834,23,23
1542263432,21,24
1542275432,23,18
1542288633,21,24
1542300034,24,22
1542312633,24,24
1542324633,21,23
1542335432,22,22
1542348033,23,22
1542359433,25,24
1542370236,24,24
1542381633,16,19
1542393034,21,20
1542403833,24,23
1542414633,24,22
1542427832,19,21
1542439233,24,22
1542451232,23,25
1542464434,22,23
1542475234,22,21
1542487233,22,22
1542499236,21,22
1542510633,23,21
1542523232,16,18
1542533434,21,20
1542544834,21,23
1542555633,25,21
1542567033,22,24
1542577833,25,24
1542588633,24,26
1542600635,22,22
1542624033,25,24
1542637233,19,19
1542649834,16,17
1542661833,21,19
1542673833,22,21
1542685233,25,26
1542697233,25,25
1542709233,22,23
1542721233,16,16
1542733833,17,16
1542747033,17,18
1542758443,20,18
1542768633,24,26
1542779432,23,23
1542789638,23,22
1542801033,24,25
1542812435,19,20
1542822034,25,22
1542834039,21,23
1542844234,24,22
1542855034,22,24
1542866441,23,23
1542877238,24,23
1542887433,25,26
1542899443,22,20
1542911435,24,26
1542922234,16,17
1542932434,24,23
1542943837,23,23
1542954036,23,24
1542965441,23,22
1542976237,25,25
1542988238,26,25
1543000839,25,25
1543012838,24,24
1543024842,26,25
1543035654,17,20
1543047038,27,24
1543059056,24,26
1543071038,24,24
1543083043,18,18
1543095641,23,23
1543107644,25,23
1543118438,25,26
1543129243,25,26
1543140044,24,25
1543150846,23,21
1543161656,23,25
1543171839,27,24
1543182642,25,26
1543192839,21,26
1543203052,25,21
1543214439,26,24
1543227646,24,25
1543239039,25,24
1543249239,26,26
1543260643,24,24
1543281039,26,27
1543310444,26,26
1543324844,19,23
1543339854,21,17
1543354243,25,25
1543366848,24,24
1543381842,21,23
1543395641,23,20
1543408245,25,27
1543421439,22,21
1543435244,19,24
1543447241,26,20
1543460457,24,26
1543473640,24,23
1543485644,24,23
1543497641,25,25
1543510242,24,26
1543522842,25,25
1543534842,21,20
1543569640,26,26
1543581039,25,25
1543593040,22,23
1543605640,23,22
