DateTime,AddedIPs,RemovedIPs
1543461844,7,10
1543462330,9,6
1543462804,8,12
1543463289,10,9
1543463765,10,5
1543464250,5,5
1543464728,5,10
1543465208,12,10
1543465930,11,8
1543466405,6,5
1543466884,6,6
1543467616,7,9
1543468351,6,7
1543468808,6,10
1543469286,11,6
1543469765,6,7
1543470249,9,12
1543470725,7,6
1543471234,15,13
1543471685,5,4
1543472168,3,4
1543472644,5,9
1543473128,6,7
1543473605,6,8
1543474091,8,7
1543474566,6,7
1543475048,9,9
1543475526,8,11
1543476009,9,8
1543476484,9,10
1543476964,9,9
1543477446,9,10
1543477929,9,7
1543478412,7,9
1543478885,7,4
1543479368,3,5
1543479846,7,4
1543480325,5,0
1543539849,1,5
1543540565,4,6
1543541048,7,6
1543541529,9,12
1543542004,8,9
1543542725,15,12
1543543449,9,6
1543543927,7,8
1543544408,5,7
1543544884,8,5
1543545364,6,7
1543545846,8,7
1543546327,8,6
1543546810,5,5
1543547288,6,8
1543547769,5,5
1543548244,10,11
1543548727,6,6
1543549205,7,7
1543549691,7,7
1543550165,8,7
1543550646,5,7
1543551124,7,8
1543551615,9,8
1543552084,7,11
1543552567,14,10
1543553046,6,7
1543553527,9,9
1543554014,8,5
1543554492,6,10
1543554965,6,7
1543555448,7,4
1543555928,4,5
1543556409,5,6
1543556886,9,12
1543557366,14,9
1543557848,5,8
1543558325,6,4
1543558808,5,6
1543559287,7,7
1543559767,6,8
1543560252,7,12
1543560725,12,9
1543561215,10,9
1543561688,8,7
1543562184,7,12
1543562645,12,10
1543563128,11,7
1543563605,7,9
1543564088,8,6
1543564565,7,8
1543565047,6,10
1543565527,10,8
1543566008,5,3
1543566484,7,3
1543566968,1,3
1543567446,1,1
1543567927,2,1
1543568416,1,0
1543609685,0,1
1543610164,1,0
1543626725,1,5
1543627446,7,10
1543628170,8,9
1543628886,10,11
1543629609,10,12
1543630087,10,9
1543630571,9,9
1543631044,8,5
1543631768,6,7
1543632250,7,8
1543632726,6,5
1543633216,7,11
1543633686,10,6
1543634170,5,7
1543634645,10,8
1543635129,9,11
1543635604,12,10
1543636086,9,10
1543636565,9,8
1543637051,5,5
1543637525,6,10
1543638013,10,10
1543638485,11,7
1543638968,8,8
1543639448,6,6
1543639928,9,5
1543640430,3,5
1543640886,6,10
1543641366,9,7
1543641850,7,14
1543642329,12,7
1543642805,6,8
1543643293,10,10
1543643767,16,12
1543644249,6,6
1543644725,4,5
1543645205,5,6
1543645689,8,11
1543646169,10,9
1543646650,7,21
1543647125,21,10
1543647631,13,6
1543648087,6,6
1543648569,10,9
1543649044,6,6
1543649527,7,8
1543650004,8,7
1543650490,6,10
1543650966,8,4
1543651446,8,11
1543651926,8,8
1543652412,7,3
1543652885,5,4
1543653365,1,0
1543653848,1,2
1543713128,1,8
1543713605,8,4
1543714089,7,7
1543714567,7,9
1543715047,10,10
1543715525,8,11
1543716018,13,7
1543716488,8,8
1543716967,8,9
1543717447,8,6
1543717927,7,6
1543718405,6,11
1543718891,11,12
1543719367,9,5
1543719847,8,12
1543720329,12,8
1543720812,8,5
1543721287,6,6
1543721765,4,11
1543722245,11,8
1543722729,8,7
1543723211,6,5
1543723685,5,4
1543724168,6,7
1543724645,8,10
1543725127,9,10
1543725604,7,9
1543726094,11,4
1543726567,4,9
1543727050,10,9
1543727526,9,10
1543728004,10,9
1543728485,8,4
1543728970,5,8
1543729445,9,10
1543729929,10,9
1543730435,10,8
1543730886,5,5
1543731368,5,7
1543731844,6,12
1543732327,16,9
1543732804,8,6
1543733288,7,9
1543733768,7,7
1543734249,6,7
1543734727,8,8
1543735207,8,5
1543735688,7,11
1543736169,8,7
1543736647,6,7
1543737124,4,2
1543737617,4,11
1543738087,12,6
1543738568,5,3
1543739044,5,7
1543739526,9,1
1543740008,0,1
1543774569,0,1
1543775045,1,0
1543799046,0,8
1543799526,9,11
1543800004,9,3
1543800490,8,11
1543800965,7,4
1543801449,5,10
1543801925,8,11
1543802421,12,9
1543802889,8,8
1543803369,10,12
1543803844,10,9
1543804328,10,9
1543804805,7,9
1543805289,11,8
1543805767,6,8
1543806247,7,9
1543806969,9,7
1543807445,5,5
1543807927,10,13
1543808404,7,9
1543809128,10,7
1543809850,6,7
1543810326,8,7
1543810808,6,7
1543811289,9,12
1543811766,8,8
1543812247,8,11
1543812726,11,5
1543813225,7,6
1543813690,8,9
1543814170,7,8
1543814885,10,8
1543815368,7,11
1543815845,12,9
1543816329,18,14
1543816825,7,13
1543817285,9,8
1543817767,8,6
1543818244,6,9
1543818728,11,10
1543819208,7,6
1543819688,8,9
1543820169,5,6
1543820648,6,11
1543821125,9,6
1543821608,9,9
1543822089,10,10
1543822565,7,8
1543823051,8,8
1543823532,8,5
1543824018,9,8
1543824487,5,6
1543824969,6,5
1543825444,5,4
1543825928,3,1
1543826406,0,1
1543826888,1,0
1543885689,2,6
1543886169,7,10
1543886644,8,4
1543887125,11,10
1543887614,8,4
1543888088,8,11
1543888565,10,8
1543889050,7,6
1543889532,9,11
1543890005,8,5
1543890727,7,7
1543891205,5,7
1543891689,7,6
1543892169,6,10
1543892887,12,10
1543893369,8,8
1543893847,6,8
1543894326,9,10
1543894804,9,11
1543895288,8,7
1543895766,9,7
1543896250,6,8
1543896725,8,8
1543897211,8,7
1543897690,6,7
1543898167,10,11
1543898646,7,6
1543899127,6,7
1543899650,6,7
1543900087,7,6
1543900567,5,6
1543901045,6,5
1543901529,5,5
1543902009,6,11
1543902488,15,7
1543902965,4,5
1543903449,7,10
1543903926,7,5
1543904408,7,7
1543904886,6,12
1543905368,13,13
1543905849,9,5
1543906326,7,4
1543906816,3,3
1543907289,4,10
1543907768,14,8
1543908244,6,5
1543908725,7,8
1543909212,4,6
1543909684,6,5
1543910165,5,4
1543910648,9,6
1543911127,5,9
1543911609,6,4
1543912085,9,5
1543912565,1,2
1543971849,0,1
1543972324,1,5
1543972808,4,8
1543973286,12,8
1543973766,9,10
1543974249,8,8
1543974727,11,14
1543975210,10,6
1543975691,10,13
1543976170,13,6
1543976645,4,8
1543977127,9,9
1543977607,10,9
1543978088,9,7
