DateTime,AddedIPs,RemovedIPs
1543824724,22,0
1543825322,25,20
1543826524,14,67
1543827123,11,11
1543827724,19,8
1543828923,12,23
1543829523,8,0
1543830123,12,9
1543830723,19,5
1543831323,17,10
1543832523,21,0
1543833122,12,22
1543833724,7,7
1543834923,24,14
1543835523,20,0
1543836123,17,27
1543837323,19,21
1543837923,14,0
1543838523,17,13
1543839123,14,0
1543839723,7,5
1543840323,10,0
1543840923,7,15
1543842124,21,8
1543842723,6,0
1543843322,12,13
1543844523,10,18
1543845123,17,0
1543845724,9,11
1543846323,24,14
1543846923,14,18
1543848122,14,0
1543849323,7,34
1543850523,11,0
1543851123,3,14
1543851724,12,0
1543852923,21,20
1543853523,14,4
1543854123,16,6
1543855323,12,0
1543855923,8,14
1543856523,9,0
1543857723,14,39
1543858323,11,0
1543858923,5,23
1543860123,11,15
1543860724,22,0
1543861323,16,27
1543861923,10,0
1543862524,11,12
1543863123,6,0
1543863723,10,19
1543864325,19,0
1543864923,12,18
1543865523,18,16
1543866122,10,21
1543866724,9,0
1543867323,16,20
1543868525,9,33
1543869124,13,0
1543869723,12,0
1543870923,13,44
1543872123,4,0
1543872723,22,28
1543873323,11,0
1543873923,15,17
1543874524,12,0
1543875123,7,18
1543875723,11,9
1543876923,9,9
1543877523,10,9
1543878123,6,15
1543878723,8,0
1543879323,13,7
1543879923,19,0
1543880523,18,9
1543881123,3,0
1543881724,9,0
1543882324,14,10
1543882923,9,14
1543883525,3,23
1543884123,3,17
1543885323,15,29
1543885924,10,0
1543886522,10,0
1543887723,9,59
1543888323,10,14
1543888923,15,11
1543890123,12,23
1543890723,18,14
1543891323,7,12
1543891924,13,0
1543892523,9,24
1543893124,9,16
1543893724,17,17
1543894324,5,0
1543894923,28,0
1543895523,17,20
1543896123,16,27
1543896722,8,0
1543897323,3,11
1543897923,9,8
1543898523,19,0
1543899123,10,12
1543899723,8,68
1543900323,8,0
1543900925,19,21
1543901524,12,10
1543902123,8,14
1543902723,7,0
1543903324,17,11
1543904524,13,0
1543905123,20,19
1543905723,18,0
1543906323,14,7
1543906923,8,21
1543907524,10,0
1543908123,12,12
1543909323,13,41
1543909922,15,0
1543910522,12,24
1543911723,11,24
1543912923,15,16
1543914123,11,28
1543914724,11,13
1543915323,7,0
1543916523,13,27
1543917723,13,44
1543918923,19,0
1543919523,8,9
1543920124,19,18
1543920723,13,6
1543921323,9,0
1543922523,7,19
1543923123,12,19
1543923722,18,12
1543924922,17,22
1543926123,13,0
1543927323,17,23
1543927923,13,24
1543928523,19,16
1543929723,11,11
1543930323,14,27
1543930923,13,0
1543932122,9,36
1543932723,12,19
1543933323,16,10
1543934523,9,13
1543935723,15,20
1543936323,12,9
1543936923,15,4
1543937523,10,9
1543938123,5,6
1543938724,7,7
1543939323,8,9
1543939923,13,0
1543940523,12,12
1543941723,11,18
1543942323,14,0
1543942923,14,0
1543943523,6,14
1543944123,12,14
1543945323,7,13
1543946523,12,33
1543947123,5,0
1543947722,16,9
1543948322,11,11
1543948923,19,0
1543950123,8,24
1543950724,7,9
1543951323,10,10
1543951923,7,0
1543952522,12,18
1543953123,13,0
1543953723,15,0
1543954323,13,10
1543954924,20,24
1543955523,12,0
1543956123,57,13
1543957323,6,31
1543958523,19,12
1543959123,19,6
1543959724,16,0
1543960323,7,12
1543960922,10,31
1543961524,13,0
1543962123,11,9
1543963323,7,5
1543964523,6,56
1543965723,8,38
1543966323,7,15
1543966923,8,4
1543967523,8,0
1543968124,14,10
1543968724,15,0
1543969323,16,0
1543969923,6,6
1543970523,16,10
1543971124,15,46
1543971724,9,0
1543972923,6,6
1543973523,7,4
1543974123,14,18
1543975323,6,4
1543975925,20,0
1543976523,9,4
1543977723,8,46
1543978323,2,10
1543978923,31,19
1543980123,19,13
1543980723,13,0
1543981324,28,2
1543981923,5,0
1543982523,7,10
1543983123,11,0
1543983723,14,6
1543984323,12,9
1543984923,21,7
1543985523,17,0
1543986123,17,12
1543986726,32,0
1543987323,19,11
1543988524,9,0
1543989123,10,9
1543989723,13,9
1543990323,13,8
1543990923,18,12
1543991523,6,0
1543992123,13,0
1543993323,33,23
1543993924,35,10
1543994523,23,32
1543995123,9,0
1543995723,23,12
1543996323,23,14
1543996924,18,0
1543998123,20,37
1543998723,15,0
1543999323,17,10
1543999923,12,0
1544000524,13,12
1544001123,11,9
1544001723,6,9
1544002923,46,8
1544003523,11,11
1544004122,13,0
1544004723,9,5
1544005323,8,10
1544005923,14,7
1544006523,12,1
1544007123,15,0
1544007723,7,55
1544008324,11,35
1544008923,10,0
1544010122,14,12
1544011323,15,14
1544011923,22,9
1544012523,6,6
1544013723,9,0
1544014323,11,10
1544014923,6,3
1544015523,12,11
1544016124,8,17
1544016723,20,0
