DateTime,AddedIPs,RemovedIPs
1543750923,0,6
1543752723,2,2
1543753323,1,6
1543755123,0,4
1543755723,0,2
1543756923,1,7
1543758124,3,15
1543759323,1,0
1543759923,0,4
1543760522,3,1
1543761723,0,3
1543762923,3,5
1543764123,1,1
1543765324,3,0
1543767123,0,1
1543767723,0,4
1543768923,1,0
1543769523,0,6
1543770122,1,6
1543770724,1,0
1543771323,0,2
1543771924,5,0
1543772523,8,2
1543773723,15,0
1543774324,13,4
1543774923,2,2
1543776123,0,3
1543777323,2,11
1543778523,1,0
1543779123,0,3
1543780923,7,2
1543781523,4,1
1543782125,9,0
1543782722,4,1
1543783322,0,4
1543784522,1,4
1543785723,0,2
1543786923,1,1
1543787522,0,3
1543788123,2,0
1543789322,8,5
1543790523,7,8
1543791723,1,4
1543792324,0,4
1543792923,2,0
1543793523,6,3
1543794123,2,0
1543794723,1,1
1543795923,1,2
1543796523,5,0
1543797123,1,0
1543797723,5,1
1543798323,1,2
1543798923,1,0
1543800123,0,24
1543803123,5,1
1543804923,3,1
1543805523,4,2
1543806124,3,0
1543806723,1,7
1543807323,3,1
1543807923,2,0
1543808523,0,3
1543809123,0,5
1543809723,0,6
1543810923,3,0
1543811523,0,6
1543812123,2,2
1543813323,19,2
1543814523,0,5
1543815723,3,1
1543816322,1,0
1543816923,1,5
1543817523,0,4
1543818122,1,1
1543819323,8,3
1543819923,1,4
1543820524,0,2
1543821724,1,2
1543822323,0,4
1543823522,0,5
1543824123,0,8
1543825322,0,1
1543826524,0,1
1543827123,6,1
1543827723,3,0
1543828922,4,6
1543829523,4,0
1543830123,0,6
1543830723,0,4
1543831323,1,5
1543831923,1,0
1543832523,1,0
1543833122,0,3
1543833723,1,0
1543834922,2,4
1543835523,4,0
1543836123,7,2
1543836723,10,0
1543837323,4,0
1543838522,2,1
1543839123,1,0
1543839723,0,4
1543840323,0,5
1543840923,9,8
1543842123,3,2
1543842723,2,0
1543843322,0,4
1543843923,1,6
1543844523,3,0
1543845123,1,4
