DateTime,AddedIPs,RemovedIPs
1542384902,210,0
1542388502,205,0
1542392102,167,0
1542395702,162,0
1542399302,152,0
1542402902,146,0
1542406502,159,0
1542410102,127,0
1542413702,141,4909
1542417302,145,0
1542420902,150,0
1542424502,163,0
1542428102,124,0
1542431702,138,0
1542435302,185,0
1542438901,183,0
1542442503,146,0
1542446102,173,0
1542449702,203,0
1542453302,191,0
1542456902,211,0
1542460502,206,0
1542464102,202,0
1542467702,178,0
1542471302,142,0
1542474902,190,0
1542478502,131,0
1542482102,147,0
1542485702,118,0
1542489302,156,0
1542492902,135,0
1542496502,148,0
1542500102,174,4131
1542503702,176,0
1542507302,175,0
1542510902,166,0
1542514502,149,0
1542518102,146,0
1542521702,237,0
1542525302,146,0
1542528902,183,0
1542532502,120,0
1542536102,160,0
1542539702,145,0
1542543302,191,0
1542546902,190,0
1542550502,151,0
1542554102,158,0
1542557702,198,0
1542561302,162,0
1542564901,161,0
1542568502,204,0
1542572102,156,0
1542575702,158,0
1542579302,140,0
1542582902,128,0
1542586502,174,3874
1542590102,176,0
1542593702,153,0
1542597302,171,0
1542600902,148,0
1542604502,232,0
1542608102,179,0
1542611702,200,0
1542615302,813,0
1542618902,504,0
1542622502,419,0
1542626102,205,0
1542629702,233,0
1542633302,334,0
1542636902,307,0
1542640502,287,0
1542644102,387,0
1542647702,235,0
1542651302,166,0
1542654902,142,0
1542658502,155,0
1542662102,127,0
1542665702,195,0
1542669302,150,0
1542672902,161,3966
1542676502,240,0
1542680102,205,0
1542683702,206,0
1542687302,208,0
1542690902,222,0
1542694501,490,0
1542698102,197,0
1542701702,210,0
1542705302,188,0
1542708902,210,0
1542712502,232,0
1542716102,173,0
1542719702,169,0
1542723302,266,0
1542726902,206,0
1542730502,253,0
1542734102,150,0
1542737702,161,0
1542741302,380,0
1542744902,145,0
1542748502,131,0
1542752102,166,0
1542755702,166,0
1542759302,131,5920
1542762902,176,0
1542766502,160,0
1542770102,159,0
1542773702,203,0
1542777302,207,0
1542780902,184,0
1542784502,192,0
1542788102,225,0
1542791702,212,0
1542795302,171,0
1542798902,402,0
1542802502,278,0
1542806103,246,0
1542809702,237,0
1542813303,219,0
1542816902,174,0
1542820502,192,0
1542824102,174,0
1542827702,177,0
1542831302,113,0
1542834902,158,0
1542838502,158,0
1542842102,140,0
1542845702,142,5248
1542849302,159,0
1542852902,202,0
1542856501,158,0
1542860102,123,0
1542863702,229,0
1542867302,234,0
1542870902,257,0
1542874502,301,0
1542878102,575,0
1542881702,347,0
1542885302,192,0
1542888902,204,0
1542892502,216,0
1542896102,184,0
1542899702,174,0
1542903302,182,0
1542906902,137,0
1542910503,160,0
1542914102,133,0
1542917702,159,0
1542921303,177,0
1542924902,176,0
1542928502,117,0
1542932102,191,4646
1542935702,170,0
1542939302,158,0
1542942902,207,0
1542946503,158,0
1542950102,201,0
1542953702,167,0
1542957302,262,0
1542960902,207,0
1542964502,204,0
1542968102,198,0
1542971702,264,0
1542975303,264,0
1542978903,227,0
1542982502,180,0
1542986102,180,0
1542989702,158,0
1542993302,156,0
1542996902,183,0
1543000502,148,0
1543004102,139,0
1543007702,150,0
1543011302,155,0
1543014902,117,0
1543018502,126,4978
1543022102,173,0
1543025702,175,0
1543029302,134,0
1543032902,140,0
1543036502,149,0
1543040102,162,0
1543043702,213,0
1543047302,211,0
1543050902,253,0
1543054502,221,0
1543058102,371,0
1543061702,229,0
1543065302,232,0
1543068902,158,0
1543072502,191,0
1543076102,139,0
1543079702,199,0
1543083302,179,0
1543086902,195,0
1543090502,179,0
1543094102,183,0
1543097702,179,0
1543101302,149,0
1543104902,170,4464
1543108502,141,0
1543112102,161,0
1543115702,179,0
1543119302,172,0
1543122902,148,0
1543126502,164,0
1543130102,190,0
1543133702,186,0
1543137303,160,0
1543140902,149,0
1543144502,147,0
1543148102,265,0
1543151702,219,0
1543155302,172,0
1543158902,152,0
1543162502,181,0
1543166102,180,0
1543169702,190,0
1543173302,198,0
1543176902,160,0
1543180502,136,0
1543184102,138,0
1543187701,166,0
1543191302,149,4543
1543194902,194,0
1543198502,157,0
1543202102,159,0
1543205702,182,0
1543209302,163,0
1543212902,227,0
1543216502,211,0
1543220102,219,0
1543223702,192,0
1543227302,291,0
1543230902,215,0
1543234502,219,0
1543238101,232,0
1543241702,251,0
1543245302,226,0
1543248903,237,0
1543252502,209,0
1543256102,244,0
1543259702,211,0
1543263302,191,0
1543266902,148,0
1543270502,169,0
1543274102,150,0
1543277702,286,4104
1543281302,147,0
1543284902,195,0
1543288502,141,0
1543292102,144,0
1543295702,161,0
1543299302,183,0
1543302902,262,0
1543306502,443,0
1543310102,329,0
1543313702,290,0
1543317302,265,0
1543320903,282,0
1543324502,278,0
1543328102,188,0
1543331702,341,0
1543335302,186,0
1543338902,181,0
1543342502,161,0
1543346102,137,0
1543349702,168,0
1543353302,162,0
1543356903,134,0
1543360502,125,0
1543364102,127,5049
1543367702,150,0
1543371302,145,0
1543374902,140,0
1543378502,119,0
1543382102,136,0
1543385702,185,0
1543389302,168,0
1543392902,200,0
1543396502,235,0
1543400102,196,0
1543403702,182,0
1543407302,203,0
1543410902,185,0
1543414502,197,0
1543418102,187,0
1543421702,230,0
1543425302,149,0
1543428902,173,0
1543432502,161,0
1543436102,202,0
1543439702,160,0
1543443302,174,0
1543446902,148,0
1543450502,186,5059
1543454102,164,0
1543457702,186,0
1543461302,184,3
1543464902,159,0
1543468502,205,0
1543472102,198,0
1543475702,283,0
1543479302,268,0
1543482902,299,0
1543486502,219,0
1543490102,265,0
1543493702,178,0
1543497302,197,0
1543500902,184,0
1543504502,173,0
1543508102,257,0
1543511702,211,0
1543515302,167,0
1543518902,179,0
1543522502,164,0
1543526102,178,0
1543529702,179,0
1543533302,176,0
1543536902,143,4152
1543540502,177,0
1543544102,186,0
1543547702,165,0
1543551302,160,0
1543554902,166,0
1543558502,164,0
1543562102,184,0
1543565702,238,0
1543569302,181,0
1543572902,206,0
1543576503,196,0
1543580102,207,0
1543583702,214,0
1543587302,184,0
1543590902,194,0
1543594502,183,0
1543598102,232,0
1543601702,180,0
1543605302,148,0
1543608902,137,0
1543612502,156,0
1543616102,138,0
1543619702,162,0
1543623301,159,4786
1543626902,188,0
1543630502,182,0
1543634102,162,0
1543637702,157,0
1543641302,219,0
1543644902,222,0
1543648502,179,0
1543652101,261,0
1543655702,252,0
1543659302,328,0
1543662902,211,0
1543666501,202,0
1543670102,212,0
1543673702,172,0
1543677301,206,0
1543680902,207,0
1543684502,219,0
1543688102,156,0
1543691702,174,0
1543695302,135,0
1543698902,142,0
1543702502,137,0
1543706102,114,0
1543709702,141,4326
1543713302,196,0
1543716902,183,0
1543720502,179,0
1543724102,174,0
1543727702,147,0
1543731302,146,0
1543734902,164,0
1543738502,194,0
1543742102,155,0
1543745703,176,0
1543749302,806,0
1543752902,488,0
1543756502,187,0
1543760103,218,0
1543763702,286,0
1543767302,179,0
1543770902,205,0
1543774502,233,0
1543778102,242,0
1543781702,160,0
1543785302,143,0
1543788902,176,0
1543792502,162,0
1543796102,138,4315
1543799702,159,0
1543803302,210,0
1543806002,113,0
1543809602,160,0
1543813203,156,0
1543816802,227,0
1543820402,212,0
1543824003,227,0
1543827602,278,0
1543831202,222,0
1543834803,249,0
1543838402,270,0
1543842003,271,0
1543845602,228,0
1543849202,277,0
1543852802,245,0
1543856402,179,0
1543860002,183,0
1543863602,160,0
1543867203,164,0
1543870802,160,0
1543874402,173,0
1543878002,144,0
1543881602,114,5379
1543885202,158,0
1543888802,153,0
1543892402,168,0
1543896002,127,0
1543899602,170,0
1543903202,206,0
1543906802,208,0
1543910403,218,0
1543914003,384,0
1543917603,249,0
1543921203,247,0
1543924802,218,0
1543928402,203,0
1543932002,191,0
1543935602,296,0
1543939202,183,0
1543942802,180,0
1543946403,188,0
1543950002,188,0
1543953602,319,0
1543957202,195,0
1543960802,170,0
1543964402,156,0
1543968003,130,4889
1543971602,579,0
1543975202,179,0
1543978802,218,0
1543982402,175,0
1543986003,205,0
1543989602,213,0
1543993203,178,0
1543996802,195,0
1544000402,216,1
1544004002,234,0
1544007602,252,0
1544011202,225,0
1544014802,277,0
1544018403,233,0
1544022002,224,0
1544025602,158,0
1544029202,345,0
1544032802,199,0
1544036402,158,0
1544040002,178,0
1544043603,202,0
1544047202,189,0
1544050802,131,0
1544054402,133,4957
1544058002,147,0
1544061602,152,0
1544065202,146,0
1544068803,113,0
1544072402,111,0
1544076002,161,0
1544079602,222,0
1544083203,240,0
1544086802,274,0
1544090402,250,0
1544094002,167,0
1544097602,367,0
1544101202,317,0
1544104802,284,0
1544108402,166,0
1544112003,225,0
1544115603,260,0
1544119202,214,0
1544122803,279,0
1544126402,191,0
1544130002,247,0
1544133602,150,0
1544138102,211,0
1544141702,169,5343
1544145302,201,0
