DateTime,Entries,UniqueIPs
1541611239,1381,1381
1541614856,1382,1382
1541616658,1381,1381
1541618444,1382,1382
1541625632,1381,1381
1541632831,1389,1389
1541636442,1389,1389
1541640050,1397,1397
1541644543,1398,1398
1541647245,1399,1399
1541654439,1397,1397
1541661637,1400,1400
1541665237,1399,1399
1541668831,1399,1399
1541675133,1396,1396
1541676032,1396,1396
1541682342,1397,1397
1541683232,1392,1392
1541689622,1391,1391
1541690433,1393,1393
1541692242,1394,1394
1541697646,1391,1391
1541701244,1392,1392
1541704845,1391,1391
1541712040,1394,1394
1541719235,1399,1399
1541726451,1399,1399
1541728245,1400,1400
1541733651,1397,1397
1541740842,1397,1397
1541748047,1398,1398
1541755252,1399,1399
1541759730,1401,1401
1541762573,1402,1402
1541765300,1401,1401
1541769641,1402,1402
1541776849,1403,1403
1541782236,1402,1402
1541784042,1406,1406
1541791246,1407,1407
1541798434,1410,1410
1541805645,1410,1410
1541808331,1409,1409
1541810139,1410,1410
1541812834,1409,1409
1541820042,1409,1409
1541823647,1408,1408
1541827246,1406,1406
1541834436,1408,1408
1541841643,1408,1408
1541848851,1407,1407
1541856043,1406,1406
1541863249,1407,1407
1541870433,1408,1408
1541877645,1406,1406
1541884830,1402,1402
1541892046,1406,1406
1541899237,1406,1406
1541906439,1408,1408
1541913650,1409,1409
1541920845,1406,1406
1541927146,1405,1405
1541928038,1410,1410
1541935362,1408,1408
1541938953,1406,1406
1541942442,1407,1407
1541949647,1406,1406
1541955043,1405,1405
1541956845,1402,1402
1541964042,1405,1405
1541971248,1405,1405
1541978433,1403,1403
1541985644,1401,1401
1541992839,1402,1402
1542000044,1403,1403
1542007241,1403,1403
1542014443,1397,1397
1542021653,1402,1402
1542027949,1401,1401
1542028845,1408,1408
1542030641,1410,1410
1542031543,1411,1411
1542036043,1412,1412
1542041448,1413,1413
1542043239,1414,1414
1542044141,1416,1416
1542045030,1417,1417
1542046838,1420,1420
1542050441,1418,1418
1542057635,1422,1422
1542065739,1424,1424
1542072038,1423,1423
1542079229,1422,1422
1542086438,1424,1424
1542093642,1421,1421
1542100845,1420,1420
1542108157,1425,1425
1542115245,1424,1424
1542122450,1426,1426
1542125148,1427,1427
1542129640,1430,1430
1542136839,1431,1431
1542138631,1433,1433
1542144048,1434,1434
1542151249,1427,1427
1542158443,1429,1429
1542165629,1430,1430
1542172842,1427,1427
1542176445,1426,1426
1542180039,1427,1427
1542187240,1427,1427
1542194443,1432,1432
1542201652,1430,1430
1542208841,1430,1430
1542216040,1430,1430
1542223240,1430,1430
1542230434,1436,1436
1542235846,1438,1438
1542236744,1440,1440
1542237640,1443,1443
1542244847,1451,1451
1542252040,1451,1451
1542252942,1452,1452
1542259254,1451,1451
1542266438,1450,1450
1542273643,1448,1448
1542278165,1450,1450
1542280854,1453,1453
1542284445,1452,1452
1542288046,1449,1449
1542295243,1447,1447
1542302452,1448,1448
1542309846,1448,1448
1542316861,1450,1450
1542324055,1453,1453
1542331249,1452,1452
1542338448,1453,1453
1542345647,1449,1449
1542352853,1450,1450
1542360048,1453,1453
1542363652,1455,1455
1542367250,1453,1453
1542374446,1452,1452
1542378050,1451,1451
1542381646,1456,1456
1542385253,1455,1455
1542387053,1456,1456
1542389751,1458,1458
1542392441,1459,1459
1542396045,1461,1461
1542403254,1457,1457
1542410454,1457,1457
1542417649,1455,1455
1542424861,1455,1455
1542432044,1455,1455
1542439246,1452,1452
1542446448,1453,1453
1542450191,1455,1455
1542451990,1456,1456
1542453765,1454,1454
1542460850,1455,1455
1542468044,1455,1455
1542470026,1456,1456
1542470980,1454,1454
1542475247,1457,1457
1542482437,1460,1460
1542484231,1461,1461
1542489660,1458,1458
1542496851,1463,1463
1542504049,1465,1465
1542511241,1461,1461
1542518441,1457,1457
1542522043,1458,1458
1542525662,1458,1458
1542532852,1457,1457
1542537358,1459,1459
1542540041,1461,1461
1542547260,1456,1456
1542554461,1457,1457
1542561646,1461,1461
1542565248,1461,1461
1542568844,1462,1462
1542575142,1464,1464
1542576043,1463,1463
1542583248,1464,1464
1542590446,1460,1460
1542597653,1461,1461
1542604848,1461,1461
1542612043,1462,1462
1542619248,1464,1464
1542624843,1465,1465
1542626571,1463,1463
1542629147,1464,1464
1542633645,1461,1461
1542640841,1461,1461
1542646239,1460,1460
1542648048,1463,1463
1542655247,1462,1462
1542662436,1462,1462
1542669648,1460,1460
1542676846,1457,1457
1542684053,1452,1452
1542691245,1450,1450
1542698457,1448,1448
1542705650,1444,1444
1542709252,1446,1446
1542712856,1439,1439
1542720035,1439,1439
1542722753,1440,1440
1542723644,1441,1441
1542727256,1439,1439
1542735345,1449,1449
1542741643,1445,1445
1542748846,1444,1444
1542756040,1444,1444
1542763246,1442,1442
1542766846,1441,1441
1542770448,1438,1438
1542773154,1439,1439
1542777639,1440,1440
1542784844,1434,1434
1542792042,1435,1435
1542795663,1436,1436
1542799259,1432,1432
1542806450,1429,1429
1542813652,1429,1429
1542815453,1428,1428
1542817248,1427,1427
1542820850,1428,1428
1542828053,1425,1425
1542835254,1427,1427
1542842458,1429,1429
1542849655,1428,1428
1542856859,1429,1429
1542860456,1428,1428
1542863162,1427,1427
1542864055,1427,1427
1542866757,1426,1426
1542871254,1430,1430
1542878460,1432,1432
1542885642,1431,1431
1542888344,1429,1429
1542892841,1426,1426
1542900064,1426,1426
1542907235,1428,1428
1542909945,1429,1429
1542914474,1433,1433
1542916250,1434,1434
1542921660,1436,1436
1542928845,1437,1437
1542936043,1435,1435
1542943243,1433,1433
1542950450,1431,1431
1542951347,1430,1430
1542957647,1430,1430
1542964849,1430,1430
1542970419,1432,1432
1542972169,1431,1431
1542972952,1430,1430
1542975658,1431,1431
1542977445,1430,1430
1542979249,1428,1428
1542981052,1429,1429
1542986447,1430,1430
1542993647,1433,1433
1543000858,1430,1430
1543008052,1429,1429
1543009848,1430,1430
1543015259,1431,1431
1543018856,1430,1430
1543022443,1428,1428
1543029655,1427,1427
1543036840,1424,1424
1543044045,1424,1424
1543051252,1425,1425
1543058442,1415,1415
1543065648,1411,1411
1543072851,1412,1412
1543080057,1415,1415
1543082751,1414,1414
1543084556,1413,1413
1543087263,1416,1416
1543094452,1416,1416
1543101655,1416,1416
1543106146,1417,1417
1543108845,1416,1416
1543116050,1411,1411
1543123249,1410,1410
1543130451,1409,1409
1543131338,1407,1407
1543134047,1406,1406
1543137650,1410,1410
1543143227,1411,1411
1543144969,1412,1412
1543148445,1411,1411
1543152047,1409,1409
1543159255,1413,1413
1543161949,1414,1414
1543166450,1413,1413
1543173653,1411,1411
1543180853,1410,1410
1543188052,1409,1409
1543195255,1407,1407
1543202451,1405,1405
1543209649,1406,1406
1543213251,1404,1404
1543214149,1403,1403
1543215950,1402,1402
1543216853,1402,1402
1543224055,1403,1403
1543231248,1405,1405
1543234848,1406,1406
1543238453,1405,1405
1543245651,1406,1406
1543252846,1408,1408
1543256467,1407,1407
1543260068,1433,1433
1543267262,1436,1436
1543272657,1437,1437
1543274452,1436,1436
1543281647,1436,1436
1543286154,1435,1435
1543288859,1432,1432
1543290654,1430,1430
1543293351,1429,1429
1543295154,1428,1428
1543296046,1425,1425
1543302365,1424,1424
1543303260,1424,1424
1543310459,1425,1425
1543316876,1427,1427
1543317791,1427,1427
1543324863,1429,1429
1543329371,1430,1430
1543332069,1433,1433
1543339250,1435,1435
1543346464,1442,1442
1543347368,1444,1444
1543353659,1446,1446
1543360851,1447,1447
1543368055,1447,1447
1543375257,1442,1442
1543378859,1441,1441
1543382460,1441,1441
1543388760,1442,1442
1543389658,1441,1441
1543396858,1439,1439
1543401357,1442,1442
1543404052,1438,1438
1543406752,1439,1439
1543409457,1440,1440
1543411264,1446,1446
1543414855,1445,1445
1543418454,1444,1444
1543425656,1446,1446
1543432854,1448,1448
1543440072,1449,1449
1543443655,1448,1448
1543445450,1449,1449
1543447262,1447,1447
1543454470,1449,1449
1543458959,1449,1449
1543461663,1446,1446
1543462557,1447,1447
1543468851,1448,1448
