DateTime,AddedIPs,RemovedIPs
1542139340,1,1
1542143002,2,0
1542146607,1,0
1542150204,0,1
1542153804,3,0
1542157344,0,1
1542160941,1,0
1542164601,3,1
1542168141,1,0
1542171801,0,7
1542175400,2,0
1542179001,2,2
1542182600,2,2
1542189802,3,0
1542193402,1,0
1542196942,1,1
1542200601,1,0
1542204201,2,3
1542207864,1,1
1542211403,1,0
1542215002,1,2
1542218601,1,1
1542222201,3,0
1542225741,1,2
1542229341,9,0
1542233001,5,1
1542236603,1,1
1542240204,5,0
1542243802,2,3
1542247401,1,0
1542251002,3,0
1542254601,3,1
1542258142,0,5
1542261806,2,0
1542265342,1,2
1542272606,1,1
1542276143,3,4
1542279746,2,0
1542283343,3,2
1542287004,0,2
1542290603,1,4
1542294144,3,0
1542297743,1,1
1542301345,1,0
1542305006,2,1
1542308542,1,4
1542312208,1,0
1542315804,1,1
1542319346,1,4
1542323008,4,0
1542326605,0,1
1542330211,1,0
1542333803,2,3
1542337342,2,0
1542340944,1,4
1542344544,1,0
1542348202,2,0
1542351803,2,6
1542355343,2,0
1542358942,2,0
1542362545,0,1
1542366207,1,1
1542369745,0,3
1542373343,1,1
1542376944,1,0
1542380544,6,3
1542384204,2,4
1542387804,2,0
1542391414,1,6
1542395003,1,0
1542405749,2,1
1542409349,1,3
1542416605,1,0
1542420146,1,4
1542423745,3,0
1542427350,4,4
1542438204,2,6
1542441805,0,2
1542445343,2,0
1542448944,3,2
1542452603,0,3
1542459804,1,1
1542463344,2,0
1542466945,1,1
1542470607,4,4
1542474204,1,0
1542477747,2,3
1542481345,2,0
1542488544,3,1
1542492150,6,0
1542495806,1,2
1542499408,1,1
1542503006,1,0
1542510205,1,2
1542513805,1,1
1542517404,0,1
1542521006,1,1
1542524546,2,4
1542528145,2,3
1542531745,2,0
1542535347,1,1
1542538946,2,0
1542542606,1,1
1542546205,0,1
1542549745,2,0
1542553407,1,4
1542556945,3,0
1542560605,2,2
1542564145,2,0
1542567808,2,1
1542574945,3,0
1542578609,0,1
1542582205,2,5
1542589406,0,2
1542592945,1,3
1542596546,2,0
1542600145,1,3
1542603806,3,0
1542607407,0,6
1542610945,2,0
1542614546,2,2
1542618206,1,0
1542621805,0,2
1542625346,2,0
1542632546,5,1
1542636208,0,1
1542639748,1,2
1542643407,2,0
1542647005,2,3
1542650607,1,1
1542654206,2,8
1542661407,1,1
1542665010,0,2
1542668552,0,1
1542672147,1,1
1542675810,0,1
1542683006,2,3
1542686546,1,0
1542690206,0,1
1542693746,2,0
1542697406,1,6
1542704546,0,3
1542708149,2,0
1542711746,1,7
1542715348,0,3
1542719009,3,0
1542722547,0,6
1542726148,3,0
1542729807,6,2
1542733347,4,3
1542737008,0,1
1542740607,1,1
1542744147,1,3
1542747808,1,0
1542751350,1,1
1542762148,0,1
1542769348,1,2
1542772949,3,1
1542776608,2,0
1542780148,0,6
1542783747,2,0
1542787348,1,2
1542790947,0,1
1542794608,1,2
1542805409,0,3
1542809009,1,2
1542812549,3,0
1542816148,2,0
1542819810,0,1
1542823348,1,3
1542826950,1,0
1542830608,1,1
1542834210,0,3
1542837811,2,0
1542841409,1,1
1542845013,1,4
1542848610,1,0
1542852210,0,1
1542855808,1,4
1542859409,3,0
1542860067,0,1
1542866611,2,3
1542870148,2,1
1542873809,1,3
1542877410,3,1
1542880948,1,0
1542884611,1,1
1542888153,1,3
1542891811,0,2
1542895414,2,0
1542898950,3,2
1542902613,0,1
1542906154,3,3
1542909756,4,3
1542913414,0,1
1542916952,2,0
1542920611,0,1
1542924153,2,0
1542927749,0,5
1542931414,1,0
1542935009,1,1
1542938676,1,0
1542942149,2,2
1542945811,1,0
1542949412,1,5
1542953010,0,3
1542956549,2,0
1542960152,0,1
1542963750,1,2
1542967352,0,4
1542974549,1,2
1542978209,1,0
1542981810,1,6
1542985410,1,0
1542988952,1,0
1542992550,2,4
1542996150,3,0
1542999811,1,1
1543003349,1,0
1543007012,0,3
1543010610,1,0
1543014150,1,2
1543017812,1,0
1543021350,0,2
1543024950,1,0
1543028614,3,6
1543032211,2,0
1543043010,2,4
1543046613,1,0
1543050153,1,2
1543057412,0,1
1543060952,1,3
1543068150,1,3
1543071752,1,6
1543075418,1,0
1543079011,2,1
1543082554,5,1
1543089811,3,4
1543093350,1,0
1543097017,1,2
1543100611,2,1
1543104155,1,2
1543111352,1,0
1543114956,1,9
1543118559,3,0
1543122155,1,3
1543125756,2,0
1543129413,1,1
1543132955,3,3
1543136614,2,3
1543140155,1,5
1543143814,3,0
1543147418,1,16
1543151016,2,0
1543153950,3,5
1543154551,0,1
1543158160,4,0
1543161757,0,6
1543168959,0,1
1543176212,0,9
1543179815,0,3
1543187012,1,1
1543190612,2,0
1543194213,1,0
1543197813,0,1
1543204952,3,2
1543208552,2,1
1543215812,3,9
1543219354,1,0
1543223012,0,3
1543230212,4,2
1543237417,0,8
1543240955,1,0
1543244553,2,0
1543248154,2,10
1543251759,2,2
1543255357,1,1
1543258956,32,0
1543262617,2,4
1543266221,2,0
1543273354,1,0
1543277018,1,1
1543284220,0,4
1543291356,2,1
1543295016,1,2
1543298553,1,2
1543302158,1,0
1543305756,1,0
1543309355,2,0
1543312959,2,2
1543316554,1,1
1543320159,2,0
1543323816,1,2
1543327357,2,0
1543330955,0,6
1543334557,5,0
1543338220,1,4
1543341816,2,0
1543345417,2,0
1543349019,1,0
1543352554,2,0
1543356221,2,1
1543359818,2,0
1543363474,1,0
1543367019,0,4
1543370622,0,1
1543374214,1,0
1543377817,2,5
1543381414,0,1
1543385018,0,2
1543388615,4,4
1543403019,0,2
1543406614,7,0
1543410217,0,2
1543413757,2,0
1543417354,0,2
1543421025,4,0
1543424554,0,3
1543428215,3,0
1543431755,1,4
1543435414,1,0
1543438958,0,3
