DateTime,Entries,UniqueIPs
1542139340,1029,1126
1542143002,1030,1128
1542146607,1031,1129
1542150204,1030,1128
1542153804,1033,1131
1542157344,1032,1130
1542160941,1033,1131
1542164601,1035,1133
1542168141,1036,1134
1542171801,1029,1127
1542175400,1031,1129
1542179001,1031,1129
1542182600,1031,1129
1542189802,1034,1132
1542193402,1035,1133
1542196942,1035,1133
1542200601,1036,1134
1542204201,1035,1133
1542207864,1035,1133
1542211403,1036,1134
1542215002,1035,1133
1542218601,1035,1133
1542222201,1037,1136
1542225741,1036,1135
1542229341,1042,1144
1542233001,1046,1148
1542236603,1046,1148
1542240204,1050,1153
1542243802,1049,1152
1542247401,1050,1153
1542251002,1053,1156
1542254601,1055,1158
1542258142,1050,1153
1542261806,1052,1155
1542265342,1051,1154
1542272606,1051,1154
1542276143,1050,1153
1542279746,1052,1155
1542283343,1054,1156
1542287004,1052,1154
1542290603,1049,1151
1542294144,1052,1154
1542297743,1052,1154
1542301345,1053,1155
1542305006,1054,1156
1542308542,1051,1153
1542312208,1052,1154
1542315804,1052,1154
1542319346,1049,1151
1542323008,1053,1155
1542326605,1052,1154
1542330211,1052,1155
1542333803,1051,1154
1542337342,1053,1156
1542340944,1050,1153
1542344544,1051,1154
1542348202,1053,1156
1542351803,1049,1152
1542355343,1051,1154
1542358942,1053,1156
1542362545,1052,1155
1542366207,1052,1155
1542369745,1049,1152
1542373343,1049,1152
1542376944,1050,1153
1542380544,1053,1156
1542384204,1050,1154
1542387804,1052,1156
1542391414,1048,1151
1542395003,1049,1152
1542405749,1050,1153
1542409349,1048,1151
1542416605,1049,1152
1542420146,1046,1149
1542423745,1049,1152
1542427350,1049,1152
1542438204,1045,1148
1542441805,1044,1146
1542445343,1046,1148
1542448944,1047,1149
1542452603,1044,1146
1542459804,1044,1146
1542463344,1046,1148
1542466945,1046,1148
1542470607,1046,1148
1542474204,1047,1149
1542477747,1046,1148
1542481345,1048,1150
1542488544,1050,1152
1542492150,1053,1158
1542495806,1052,1157
1542499408,1052,1157
1542503006,1053,1158
1542510205,1052,1157
1542513805,1052,1157
1542517404,1051,1156
1542521006,1051,1156
1542524546,1049,1154
1542528145,1048,1153
1542531745,1050,1155
1542535347,1050,1155
1542538946,1052,1157
1542542606,1052,1157
1542546205,1051,1156
1542549745,1053,1158
1542553407,1052,1155
1542556945,1055,1158
1542560605,1055,1158
1542564145,1057,1160
1542567808,1058,1161
1542574945,1061,1164
1542578609,1060,1163
1542582205,1057,1160
1542589406,1055,1158
1542592945,1053,1156
1542596546,1055,1158
1542600145,1053,1156
1542603806,1056,1159
1542607407,1050,1153
1542610945,1052,1155
1542614546,1052,1155
1542618206,1053,1156
1542621805,1051,1154
1542625346,1053,1156
1542632546,1057,1160
1542636208,1056,1159
1542639748,1055,1158
1542643407,1057,1160
1542647005,1056,1159
1542650607,1056,1159
1542654206,1054,1153
1542661407,1054,1153
1542665010,1052,1151
1542668552,1051,1150
1542672147,1051,1150
1542675810,1050,1149
1542683006,1049,1148
1542686546,1050,1149
1542690206,1049,1148
1542693746,1051,1150
1542697406,1046,1145
1542704546,1043,1142
1542708149,1045,1144
1542711746,1039,1138
1542715348,1038,1135
1542719009,1040,1138
1542722547,1034,1132
1542726148,1037,1135
1542729807,1041,1139
1542733347,1042,1140
1542737008,1041,1139
1542740607,1041,1139
1542744147,1039,1137
1542747808,1040,1138
1542751350,1040,1138
1542762148,1039,1137
1542769348,1038,1136
1542772949,1040,1138
1542776608,1042,1140
1542780148,1036,1134
1542783747,1038,1136
1542787348,1037,1135
1542790947,1036,1134
1542794608,1035,1133
1542805409,1032,1130
1542809009,1031,1129
1542812549,1034,1132
1542816148,1036,1134
1542819810,1035,1133
1542823348,1033,1131
1542826950,1034,1132
1542830608,1034,1132
1542834210,1031,1129
1542837811,1033,1131
1542841409,1033,1131
1542845013,1030,1128
