DateTime,AddedIPs,RemovedIPs
1542222201,3,5
1542225741,2,1
1542229341,10,0
1542233001,6,4
1542236603,1,1
1542240204,6,2
1542243802,3,2
1542247401,1,2
1542251002,4,1
1542254601,3,3
1542258142,0,1
1542261806,4,3
1542265342,1,1
1542269003,1,1
1542272606,3,2
1542276143,3,1
1542279746,2,2
1542283343,3,5
1542287004,0,1
1542290603,2,1
1542294144,3,2
1542297743,2,1
1542301345,1,3
1542305006,2,2
1542308542,3,1
1542312208,1,1
1542315804,1,0
1542319346,1,1
1542323008,4,4
1542326605,0,1
1542330211,1,1
1542333803,3,1
1542337342,2,0
1542340944,1,2
1542344544,2,3
1542348202,2,2
1542351803,2,4
1542355343,2,1
1542358942,3,2
1542362545,0,2
1542366207,1,2
1542369745,0,1
1542373343,1,1
1542376944,1,3
1542380544,6,3
1542384204,3,0
1542387804,3,2
1542391414,1,2
1542395003,2,0
1542398603,0,1
1542402204,0,3
1542405749,2,3
1542409349,1,2
1542412943,0,1
1542416605,1,1
1542420146,1,2
1542423745,4,3
1542427350,4,3
1542431003,0,1
1542438204,2,3
1542441805,0,1
1542445343,2,2
1542448944,3,2
1542456145,4,1
1542459804,2,3
1542463344,3,3
1542466945,1,4
1542470607,4,3
1542474204,2,1
1542477747,2,1
1542481345,2,0
1542484949,0,3
1542488544,4,2
1542492150,6,2
1542495806,1,1
1542499408,1,2
1542503006,2,1
1542506604,0,1
1542510205,1,3
1542513805,1,7
1542517404,1,1
1542521006,1,2
1542524546,3,1
1542528145,2,3
1542531745,2,5
1542535347,1,2
1542538946,2,3
1542542606,1,8
1542546205,1,10
1542549745,2,5
1542553407,1,1
1542556945,3,2
1542560605,2,6
1542564145,3,1
1542567808,4,1
1542571410,0,1
1542574945,3,8
1542578609,0,5
1542582205,3,0
1542585805,2,1
1542592945,1,1
1542596546,2,2
1542600145,1,2
1542603806,3,2
1542610945,2,4
1542614546,2,5
1542618206,1,3
1542621805,1,0
1542625346,2,1
1542629005,0,1
1542632546,5,3
1542636208,0,6
1542639748,2,0
1542643407,2,10
1542647005,3,2
1542650607,1,1
1542654206,3,1
1542657748,0,1
1542661407,1,3
1542672147,1,1
1542675810,0,1
1542679347,0,2
1542683006,2,4
1542686546,1,1
1542690206,0,1
1542693746,3,1
1542697406,2,3
1542708149,4,2
1542711746,1,1
1542715348,3,0
1542719009,3,2
1542726148,3,4
1542729807,6,4
1542733347,4,3
1542737008,1,1
1542740607,2,1
1542744147,1,0
1542747808,1,0
1542751350,1,1
1542765809,0,5
1542769348,1,1
1542772949,4,5
1542776608,2,1
1542780148,0,2
1542783747,2,2
1542787348,1,2
1542790947,0,1
1542794608,3,0
1542798149,0,1
1542801808,0,1
1542809009,2,2
1542812549,3,2
1542816148,2,0
1542819810,0,2
1542823348,1,2
1542826950,3,0
1542830608,2,4
1542834210,2,4
1542837811,2,2
1542841409,1,1
1542845013,2,1
1542848610,3,1
1542852210,0,3
1542855808,2,1
1542859409,3,5
1542860067,1,0
1542866611,2,3
1542870148,2,6
1542873809,2,0
1542877410,4,2
1542880948,2,1
1542884611,1,0
1542888153,1,1
1542891811,1,10
1542895414,2,5
1542898950,3,3
1542902613,2,0
1542906154,3,1
1542909756,4,1
1542916952,3,2
1542924153,2,1
1542927749,0,2
1542931414,1,4
1542935009,1,4
1542938676,2,1
1542942149,3,2
1542945811,1,6
1542949412,1,1
1542953010,0,1
1542956549,2,5
1542960152,2,2
1542963750,2,3
1542967352,0,1
1542970951,0,1
1542974549,2,3
1542978209,1,2
1542981810,1,1
1542985410,1,3
1542988952,1,0
1542992550,2,4
1542996150,3,1
1542999811,1,2
1543003349,1,0
1543007012,0,1
1543010610,2,0
1543014150,1,2
1543017812,1,1
1543021350,1,1
1543024950,1,0
1543028614,4,5
1543032211,2,3
1543043010,2,3
1543046613,1,1
1543050153,1,2
1543053753,0,1
1543060952,2,3
1543064614,1,0
1543068150,1,0
1543071752,1,2
1543075418,1,4
1543079011,2,1
1543082554,5,0
1543086214,0,1
1543089811,3,2
1543093350,2,0
1543097017,1,1
1543100611,2,0
1543104155,1,1
1543107816,0,3
1543111352,2,1
1543114956,1,1
1543118559,3,2
1543122155,1,0
1543125756,2,2
1543129413,1,4
1543132955,3,2
1543136614,2,2
1543140155,1,2
1543143814,4,1
1543147418,1,1
1543151016,2,3
1543153950,3,0
1543158160,4,0
1543161757,1,0
1543168959,0,3
1543172612,1,1
1543176212,0,1
1543187012,1,0
1543190612,2,0
1543194213,1,1
1543197813,0,1
1543204952,3,5
1543208552,3,0
1543215812,3,3
1543219354,3,4
1543223012,0,2
1543226554,0,2
1543230212,4,2
1543233816,3,4
1543240955,1,1
1543244553,2,1
1543248154,2,1
1543251759,2,2
1543255357,3,1
1543258956,34,1
1543262617,2,1
1543266221,2,1
1543273354,1,1
1543277018,2,0
1543280613,2,3
1543284220,0,1
1543287814,0,1
1543291356,2,4
1543295016,1,3
1543298553,2,0
1543302158,2,4
1543305756,1,2
1543309355,2,1
1543312959,2,2
1543316554,1,1
1543320159,3,4
1543323816,1,2
1543327357,2,5
1543330955,0,4
1543334557,7,2
1543338220,2,2
1543341816,2,2
1543345417,3,2
1543349019,1,1
1543352554,2,1
1543356221,3,11
1543359818,2,1
1543363474,1,1
1543370622,0,1
1543374214,1,2
1543377817,2,2
1543381414,1,0
1543385018,0,2
1543388615,4,2
1543392157,1,0
1543399360,0,1
1543403019,1,1
1543406614,7,2
1543410217,1,10
1543413757,3,13
1543417354,1,0
1543421025,4,5
1543428215,3,1
1543431755,1,2
1543435414,1,1
1543438958,0,1
1543442559,1,0
1543446155,1,2
1543449816,2,0
1543453354,1,1
1543456955,2,1
1543460555,1,1
1543464154,5,3
1543467756,1,1
1543475016,3,5
1543478615,2,2
1543482157,2,2
1543485814,1,2
1543489416,3,2
1543493015,6,2
1543496555,2,1
1543500215,1,2
1543503818,2,4
1543507355,4,2
1543510955,1,4
1543514557,3,0
1543515538,3,1
1543518180,15,1
1543521783,2,1
1543525380,3,0
1543528980,1,0
1543532588,2,0
1543539780,1,1
1543543380,1,1
1543546986,1,3
1543550580,4,3
1543554179,1,0
1543557779,1,1
1543561387,3,3
1543564988,1,1
1543568581,3,4
1543572186,1,0
1543575780,0,2
1543579382,2,3
1543582981,2,0
1543586585,2,1
1543590180,1,2
1543593781,0,4
1543597383,1,3
1543600982,1,2
1543604645,1,5
1543611783,2,2
1543615385,0,1
1543618983,1,0
1543622582,3,0
1543625518,6,0
1543629789,8,1
1543633382,1,1
1543636980,2,1
1543640586,0,2
1543644186,3,0
1543647780,2,2
1543651386,2,2
1543654980,0,2
1543658580,1,3
1543662182,3,7
1543665790,1,1
1543669384,1,0
1543672990,0,1
1543676587,0,1
1543683786,2,1
1543687383,1,3
1543690988,2,2
1543694587,2,2
1543698185,1,4
1543705388,3,4
1543712588,2,1
1543716186,1,1
1543719789,0,1
1543723381,2,2
1543726984,5,1
1543730589,0,1
1543734183,2,1
1543737782,2,3
1543741381,3,2
1543744983,1,2
1543748587,2,0
1543752187,1,1
1543755785,1,4
1543759384,1,0
1543766585,0,1
1543770186,1,2
1543773728,2,1
1543777388,2,3
1543780983,1,0
1543784582,1,0
1543788190,2,2
1543795382,0,3
1543802589,0,1
1543806189,1,1
1543809730,4,3
1543813386,1,2
1543820585,3,7
1543824184,4,2
1543827784,2,0
1543831386,1,0
1543834984,1,1
1543838583,0,1
1543842185,1,1
1543845784,1,0
1543849385,3,1
1543852988,5,3
1543860126,0,1
1543863783,2,2
1543867383,0,1
1543870985,1,3
1543874583,1,2
1543881785,0,2
1543885387,1,0
1543888983,2,1
1543892584,1,1
1543896184,2,6
1543899786,4,1
1543903387,0,2
1543906984,1,2
1543910583,3,2
1543914185,3,2
1543917726,6,5
1543921384,2,0
1543924983,4,2
1543928586,1,1
1543939386,3,1
1543942988,2,3
1543946589,6,4
1543950189,0,1
1543953788,0,1
1543957386,0,1
1543960988,0,2
1543964589,1,0
1543968189,0,2
1543971789,4,0
1543975390,1,2
1543978987,1,2
1543982585,0,2
1543986191,2,2
1543989786,3,2
1543993387,2,3
1543996990,4,1
1544000584,2,2
1544004187,0,3
1544007789,0,8
1544011391,2,2
1544014989,0,2
1544018587,4,2
1544022185,3,1
1544025730,2,1
1544029388,3,1
1544032988,2,2
1544036585,2,3
1544040188,1,0
1544043789,1,2
1544047387,2,2
1544054590,1,1
1544058187,2,1
1544061786,0,1
1544065389,1,3
1544068992,2,2
1544072587,1,1
1544076189,1,2
1544079731,2,3
1544083387,1,0
1544086986,1,2
1544090589,1,3
1544094187,1,3
1544097789,1,2
1544101387,1,2
1544104992,2,0
1544108591,2,2
1544112188,2,3
1544115793,1,4
1544119393,1,0
1544122987,3,1
1544130192,1,1
1544133789,3,1
1544140989,1,1
1544148189,0,1
1544151788,2,2
1544155388,1,0
1544158989,1,1
1544162587,2,1
1544166189,2,5
1544169787,2,2
1544173387,0,3
1544176989,1,1
1544180595,0,3
